tbl,Year,quarter,citymarketid_1,citymarketid_2,City1,City2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table1a,2014,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,13796,ABQ,OAK,363.9130435,214.4986559,WN,0.963261649,214.0654264,WN,0.963261649,214.0654264
Table1a,2014,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,14771,ABQ,SFO,225.9782609,202.7679654,WN,0.544011544,177.517595,AA,0.046657047,209.2938144
Table1a,2014,3,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",896,10140,14831,ABQ,SJC,71.63043478,269.2335357,WN,0.792109256,259.1342912,AA,0.010622155,304.0857143
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,10800,ABQ,BUR,51.52173913,222.064557,WN,0.907172996,219.2616279,US,0.073839662,239.2571429
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,10800,ABQ,BUR,51.52173913,222.064557,WN,0.907172996,219.2616279,WN,0.907172996,219.2616279
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,12892,ABQ,LAX,562.826087,201.3327346,WN,0.681730398,196.5691501,AA,0.156431054,219.5159259
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,12954,ABQ,LGB,16.19565217,197.9409396,US,0.785234899,194.574359,AA,0.013422819,313.75
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,13891,ABQ,ONT,59.02173913,267.6830571,WN,0.755064457,266.2087805,DL,0.020257827,405.8636364
Table1a,2014,3,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,14908,ABQ,SNA,79.7826087,252.9042234,WN,0.697547684,252.2220703,AA,0.01226158,399.6111111
Table1a,2014,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,10154,11618,ACK,EWR,8.913043478,201.3256098,UA,0.451219512,173.072973,B6,0.195121951,153.9125
Table1a,2014,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,10154,12197,ACK,HPN,0.543478261,277.62,9K,1,277.62,9K,1,277.62
Table1a,2014,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,10154,12478,ACK,JFK,344.673913,179.0202144,B6,0.718700725,178.4145239,B6,0.718700725,178.4145239
Table1a,2014,3,30154,31703,"Nantucket, MA","New York City, NY (Metropolitan Area)",218,10154,12953,ACK,LGA,10.65217391,174.9418367,DL,0.948979592,172.2688172,DL,0.948979592,172.2688172
Table1a,2014,3,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",977,10158,11697,ACY,FLL,571.3043478,104.8141172,NK,1,104.8141172,NK,1,104.8141172
Table1a,2014,3,30158,33195,"Atlantic City, NJ","Tampa, FL (Metropolitan Area)",913,10158,15304,ACY,TPA,219.3478261,104.9345887,NK,0.99950446,104.5592464,NK,0.99950446,104.5592464
Table1a,2014,3,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",602,11109,11259,COS,DAL,1.847826087,235.4,UA,1,235.4,UA,1,235.4
Table1a,2014,3,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",602,11109,11298,COS,DFW,213.2608696,214.7108563,AA,0.950560652,215.5639678,AA,0.950560652,215.5639678
Table1a,2014,3,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",602,11109,11298,COS,DFW,213.2608696,214.7108563,AA,0.950560652,215.5639678,UA,0.041794088,197.595122
Table1a,2014,3,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,10821,COS,BWI,49.13043478,304.4661504,UA,0.688053097,304.1855305,AA,0.185840708,294.4380952
Table1a,2014,3,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,11278,COS,DCA,80.54347826,268.5757085,AA,0.715249663,230.3515094,AA,0.715249663,230.3515094
Table1a,2014,3,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,12264,COS,IAD,87.93478261,335.9312732,UA,0.817058096,356.2350983,AA,0.142150803,222.2565217
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,10800,COS,BUR,5.326086957,265.4673469,UA,0.775510204,266.3236842,DL,0.204081633,275.29
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,12892,COS,LAX,147.826087,242.2597059,UA,0.915441176,242.1933333,DL,0.075,229.7245098
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,12892,COS,LAX,147.826087,242.2597059,UA,0.915441176,242.1933333,UA,0.915441176,242.1933333
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,12954,COS,LGB,1.195652174,242.8090909,DL,0.909090909,248.53,DL,0.909090909,248.53
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,13891,COS,ONT,7.065217391,294.8230769,UA,0.815384615,273.4924528,AA,0.030769231,298.5
Table1a,2014,3,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",833,11109,14908,COS,SNA,14.89130435,311.7927007,UA,0.802919708,302.8990909,AA,0.072992701,446.7
Table1a,2014,3,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",1067,11259,14122,DAL,PIT,55.97826087,226.7638835,WN,0.867961165,223.9250559,DL,0.050485437,251.5423077
Table1a,2014,3,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",1067,11259,14122,DAL,PIT,55.97826087,226.7638835,WN,0.867961165,223.9250559,UA,0.062135922,247.621875
Table1a,2014,3,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",1067,11259,14122,DAL,PIT,55.97826087,226.7638835,WN,0.867961165,223.9250559,WN,0.867961165,223.9250559
Table1a,2014,3,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",1067,11298,14122,DFW,PIT,495.4347826,295.2889864,AA,0.67025011,315.6247463,AA,0.67025011,315.6247463
Table1a,2014,3,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",651,11259,11292,DAL,DEN,327.0652174,175.6478564,WN,0.994682619,175.1443702,WN,0.994682619,175.1443702
Table1a,2014,3,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",651,11298,11292,DFW,DEN,2319.891304,153.0276484,F9,0.431476362,112.7890868,AA,0.405331959,188.575263
Table1a,2014,3,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",824,11259,15376,DAL,TUS,14.45652174,219.2511278,WN,0.84962406,215.6230088,UA,0.135338346,216.7555556
Table1a,2014,3,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",824,11298,15376,DFW,TUS,186.9565217,252.723314,AA,0.787209302,260.4304284,AA,0.787209302,260.4304284
Table1a,2014,3,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",879,11259,14107,DAL,PHX,429.2391304,172.5798683,WN,0.992909597,172.2307575,WN,0.992909597,172.2307575
Table1a,2014,3,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",879,11298,14107,DFW,PHX,1062.934783,204.7730341,AA,0.450761837,225.2919238,AA,0.450761837,225.2919238
Table1a,2014,3,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",1471,11259,10529,DAL,BDL,14.23913043,273.9473282,WN,0.770992366,270.6257426,DL,0.221374046,284.9793103
Table1a,2014,3,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",1471,11298,10529,DFW,BDL,284.0217391,338.3499043,AA,0.667814772,357.8441261,AA,0.667814772,357.8441261
Table1a,2014,3,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",1670,11259,14747,DAL,SEA,100,235.3104348,WN,0.939130435,232.0375,UA,0.051086957,275.7212766
Table1a,2014,3,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",1670,11259,14747,DAL,SEA,100,235.3104348,WN,0.939130435,232.0375,WN,0.939130435,232.0375
Table1a,2014,3,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",1670,11298,14747,DFW,SEA,1438.369565,265.1947631,AA,0.468903499,289.1796938,AA,0.468903499,289.1796938
Table1a,2014,3,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",562,11259,11540,DAL,ELP,391.6304348,204.4897308,WN,0.991396059,204.5864502,WN,0.991396059,204.5864502
Table1a,2014,3,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",562,11298,11540,DFW,ELP,224.7826087,208.0366538,AA,0.946324952,207.7190598,AA,0.946324952,207.7190598
Table1a,2014,3,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",562,11298,11540,DFW,ELP,224.7826087,208.0366538,AA,0.946324952,207.7190598,US,0.025628627,232.1735849
Table1a,2014,3,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",562,11298,11540,DFW,ELP,224.7826087,208.0366538,AA,0.946324952,207.7190598,UA,0.02417795,211.31
Table1a,2014,3,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,11259,10693,DAL,BNA,239.8913043,180.2545537,WN,0.984141368,179.7070442,WN,0.984141368,179.7070442
Table1a,2014,3,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,11259,10693,DAL,BNA,239.8913043,180.2545537,WN,0.984141368,179.7070442,DL,0.01087449,231.6041667
Table1a,2014,3,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,11298,10693,DFW,BNA,615.5434783,212.9759491,AA,0.91806463,211.4236392,AA,0.91806463,211.4236392
Table1a,2014,3,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,11298,10693,DFW,BNA,615.5434783,212.9759491,AA,0.91806463,211.4236392,US,0.043263288,215.2330612
Table1a,2014,3,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,11298,10693,DFW,BNA,615.5434783,212.9759491,AA,0.91806463,211.4236392,DL,0.027370652,249.5258065
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,10821,DAL,BWI,333.5869565,188.3372434,WN,0.963180189,187.9461434,UA,0.012056044,208.872973
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,10821,DAL,BWI,333.5869565,188.3372434,WN,0.963180189,187.9461434,WN,0.963180189,187.9461434
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,10821,DAL,BWI,333.5869565,188.3372434,WN,0.963180189,187.9461434,DL,0.019224503,191.9661017
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,11278,DAL,DCA,119.7826087,211.1543557,WN,0.91923775,206.1364265,WN,0.91923775,206.1364265
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,11278,DAL,DCA,119.7826087,211.1543557,WN,0.91923775,206.1364265,DL,0.059891107,237.8666667
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,12264,DAL,IAD,13.69565217,223.3753968,WN,0.531746032,211.9641791,DL,0.238095238,251.36
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11298,10821,DFW,BWI,937.826087,211.0270631,AA,0.477399166,272.0795339,AA,0.477399166,272.0795339
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11298,11278,DFW,DCA,970.326087,331.7604682,AA,0.851125798,338.117452,AA,0.851125798,338.117452
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11298,11278,DFW,DCA,970.326087,331.7604682,AA,0.851125798,338.117452,DL,0.090175871,236.6198758
Table1a,2014,3,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11298,11278,DFW,DCA,970.326087,331.7604682,AA,0.851125798,338.117452,US,0.02352414,444.1504762
