Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2007,4,Table 1a,33.90,316.71,29.38,302.76,02200,23210,ABE,DFW,1308,19.239130435,309.63310734,US,DL
2007,4,Table 1a,88.24,245.19,88.24,245.19,02200,37320,ABE,HOU,1351,1.847826087,254.28705882,DL,DL
2007,4,Table 1a,33.12,284.84,11.69,220.43,02200,37320,ABE,IAH,1339,16.739130435,281.02720779,US,DL
2007,4,Table 1a,100.00,227.22,100.00,227.22,02200,18500,ABE,MDW,646,0.9782608696,227.22333333,NW,NW
2007,4,Table 1a,91.55,225.58,91.55,225.58,02200,18500,ABE,ORD,654,144.02173913,225.62339623,UA,UA
2007,4,Table 1a,100.00,100.79,100.00,100.79,02200,87870,ABE,PIE,971,104.13043478,100.78558455,G4,G4
2007,4,Table 1a,69.84,166.09,18.10,150.40,02200,87870,ABE,TPA,963,46.847826087,162.41382831,US,DL
2007,4,Table 1a,93.65,287.41,93.65,287.41,00300,96460,ABI,DCA,1345,6.847826087,295.88015873,AA,AA
2007,4,Table 1a,100.00,102.00,100.00,102.00,00300,23210,ABI,DFW,158,26.630434783,102.00236735,AA,AA
2007,4,Table 1a,50.00,279.30,36.11,173.31,00300,63760,ABI,EWR,1523,3.9130434783,232.72361111,CO,AA
2007,4,Table 1a,93.10,261.79,93.10,261.79,00300,96460,ABI,IAD,1325,3.152173913,262.97689655,AA,AA
2007,4,Table 1a,41.67,220.88,16.67,197.35,00300,63760,ABI,JFK,1542,1.3043478261,251.2275,CO,AA
2007,4,Table 1a,78.48,246.97,18.99,178.55,00300,63760,ABI,LGA,1539,8.5869565217,232.81544304,AA,CO
2007,4,Table 1a,0.00,0.00,0.00,9999.00,00300,18500,ABI,MDW,921,0.5434782609,149.782,,
2007,4,Table 1a,94.44,187.87,94.44,187.87,00300,18500,ABI,ORD,924,13.695652174,190.85547619,AA,AA
2007,4,Table 1a,99.54,131.54,99.54,131.54,01680,23210,ABQ,DAL,580,587.60869565,131.51872364,WN,WN
2007,4,Table 1a,49.86,258.92,49.86,258.92,01680,96460,ABQ,DCA,1650,192.93478261,271.15296901,AA,AA
2007,4,Table 1a,96.28,137.50,96.28,137.50,01680,23210,ABQ,DFW,569,315.54347826,137.82529452,AA,AA
2007,4,Table 1a,70.23,232.44,70.23,232.44,01680,63760,ABQ,EWR,1805,217.60869565,234.17606893,CO,CO
2007,4,Table 1a,98.84,168.46,98.84,168.46,01680,37320,ABQ,HOU,759,234.23913043,168.52545708,WN,WN
2007,4,Table 1a,76.07,283.37,76.07,283.37,01680,96460,ABQ,IAD,1628,186.19565217,274.70207823,UA,UA
2007,4,Table 1a,94.92,182.48,94.92,182.48,01680,37320,ABQ,IAH,744,209.67391304,182.41315189,CO,CO
2007,4,Table 1a,26.11,194.67,15.43,178.19,01680,63760,ABQ,JFK,1825,36.630434783,236.01881306,DL,CO
2007,4,Table 1a,40.55,226.09,15.70,187.32,01680,63760,ABQ,LGA,1821,224.34782609,211.84114341,AA,CO
2007,4,Table 1a,87.05,187.12,87.05,187.12,01680,18500,ABQ,MDW,1121,156.95652174,185.78688366,WN,WN
2007,4,Table 1a,58.58,189.37,58.58,189.37,01680,18500,ABQ,ORD,1118,247.17391304,201.79150836,AA,AA
2007,4,Table 1a,56.22,192.13,12.37,191.59,01680,87870,ABQ,TPA,1497,150.2173913,197.08871201,WN,CO
2007,4,Table 1a,97.56,259.84,97.56,259.84,01540,96460,ABY,DCA,647,8.9130434783,264.08268293,DL,DL
2007,4,Table 1a,97.06,229.29,97.06,229.29,01540,63760,ABY,EWR,844,7.3913043478,228.22573529,DL,DL
2007,4,Table 1a,95.00,274.05,95.00,274.05,01540,96460,ABY,IAD,637,4.347826087,276.17675,DL,DL
2007,4,Table 1a,100.00,227.41,100.00,227.41,01540,63760,ABY,JFK,856,0.8695652174,227.4075,DL,DL
2007,4,Table 1a,98.61,190.09,98.61,190.09,01540,63760,ABY,LGA,859,7.8260869565,190.39972222,DL,DL
2007,4,Table 1a,86.73,303.18,86.73,303.18,95810,96460,ACT,DCA,1243,12.282608696,315.5460177,AA,AA
2007,4,Table 1a,85.42,239.96,85.42,239.96,95810,96460,ACT,IAD,1223,5.2173913043,260.83291667,AA,AA
