Year,Quarter,carrier,carshare,carfare,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2012,4,US,46.33027523,335.2757426,Table 1a,46.33,335.28,26.15,306.01,30135,30194,ABE,DFW,1307,23.69565217,324.4243578,US,DL
2012,4,US,61.83206107,309.5360494,Table 1a,61.83,309.54,25.95,297.4,30135,32467,ABE,FLL,1041,14.23913044,303.0475573,US,UA
2012,4,US,31.72043011,349.1271186,Table 1a,51.61,361.93,10.22,348.22,30135,31453,ABE,IAH,1339,20.2173913,356.8957527,UA,DL
2012,4,US,17.4904943,442.2136957,Table 1a,63.88,322.16,63.88,322.16,30135,32575,ABE,LAX,2388,28.58695652,356.413384,UA,UA
2012,4,US,42.85714286,371.7922222,Table 1a,42.86,371.79,12.7,291.85,30135,32467,ABE,MIA,1061,6.847826087,333.8331746,US,UA
2012,4,US,37.5,543.1683333,Table 1a,37.5,543.17,31.25,310.6,30135,32575,ABE,ONT,2342,1.739130435,431.0125,US,DL
2012,4,US,18.48958333,314.4052113,Table 1a,78.91,316.04,18.49,314.41,30135,30977,ABE,ORD,654,83.47826087,314.7804818,UA,US
2012,4,G4,100,119.6271257,Table 1a,100,119.63,100,119.63,30135,33195,ABE,PIE,970,63.15217391,119.6271257,G4,G4
2012,4,US,13.96648045,463.4132,Table 1a,68.16,379.65,10.61,373.87,30135,32457,ABE,SFO,2500,19.45652174,391.2906704,UA,DL
2012,4,US,18.75,429.61,Table 1a,37.5,322.29,37.5,296.24,30135,32457,ABE,SJC,2483,1.739130435,324.553125,DL,UA
2012,4,US,9.836065574,293.4933333,Table 1a,50.82,364.02,27.87,329.4,30135,32575,ABE,SNA,2367,6.630434783,359.3172131,UA,US
2012,4,US,55.2,287.6030435,Table 1a,55.2,287.6,22.4,267.15,30135,33195,ABE,TPA,962,13.58695652,289.03488,US,UA
2012,4,AA,98.33333333,363.3220339,Table 1a,98.33,363.32,98.33,363.32,30136,30852,ABI,BWI,1370,6.52173913,361.3076667,AA,AA
2012,4,AA,100,268.0327273,Table 1a,100,268.03,100,268.03,30136,30852,ABI,DCA,1345,4.782608696,268.0327273,AA,AA
2012,4,AA,100,132.641,Table 1a,100,132.64,100,132.64,30136,30194,ABI,DFW,158,27.17391304,132.641,AA,AA
2012,4,AA,98.61111111,217.7091549,Table 1a,98.61,217.71,98.61,217.71,30136,31453,ABI,HOU,323,7.826086957,216.6198611,AA,AA
2012,4,AA,100,291.942,Table 1a,100,291.94,100,291.94,30136,30852,ABI,IAD,1325,2.173913044,291.942,AA,AA
2012,4,AA,97.33333333,197.6515069,Table 1a,97.33,197.65,97.33,197.65,30136,31453,ABI,IAH,307,8.152173913,199.1542667,AA,AA
2012,4,AA,97.4137931,307.0140708,Table 1a,97.41,307.01,97.41,307.01,30136,32575,ABI,LAX,1089,12.60869565,304.4802586,AA,AA
2012,4,AA,94.73684211,329.3316667,Table 1a,94.74,329.33,94.74,329.33,30136,32575,ABI,ONT,1043,2.065217391,334.4321053,AA,AA
2012,4,AA,98.97959184,278.905567,Table 1a,98.98,278.91,98.98,278.91,30136,30977,ABI,ORD,924,10.65217391,279.1672449,AA,AA
2012,4,AA,92.68292683,290.6623684,Table 1a,92.68,290.66,92.68,290.66,30136,32575,ABI,SNA,1058,4.456521739,289.3678049,AA,AA
2012,4,WN,26.99594046,301.1004762,Table 1a,39.78,290.84,39.78,290.84,30140,30721,ABQ,BOS,1974,160.6521739,305.1276387,AA,AA
2012,4,WN,90.52863436,202.1475183,Table 1a,90.53,202.15,90.53,202.15,30140,32575,ABQ,BUR,672,49.34782609,205.109956,WN,WN
2012,4,WN,69.44560233,276.5053421,Table 1a,69.45,276.51,15.55,186.19,30140,30852,ABQ,BWI,1670,260.7608696,256.4792372,WN,AA
2012,4,WN,38.16793893,290.3676,Table 1a,39.69,233.83,39.69,233.83,30140,30647,ABQ,CAK,1427,14.23913044,273.3599237,F9,F9
2012,4,WN,22.09944751,271.56275,Table 1a,41.44,277.89,23.48,265.51,30140,30647,ABQ,CLE,1411,39.34782609,276.1240332,UA,AA
2012,4,WN,99.87380111,175.2474425,Table 1a,99.87,175.25,99.87,175.25,30140,30194,ABQ,DAL,580,430.6521739,175.1932736,WN,WN
2012,4,WN,3.214596004,206.8435135,Table 1a,47.35,302.99,47.35,302.99,30140,30852,ABQ,DCA,1650,125.1086957,306.9736403,AA,WN
2012,4,US,0.958977091,192.3172222,Table 1a,96.38,176.59,96.38,176.59,30140,30194,ABQ,DFW,569,204.0217391,177.0500959,AA,F9
2012,4,WN,28.11900192,260.5006826,Table 1a,35.41,304.5,28.12,260.5,30140,31703,ABQ,EWR,1805,113.2608696,283.933023,UA,WN
2012,4,WN,41.90476191,246.9490341,Table 1a,41.9,246.95,32.02,220.54,30140,32467,ABQ,FLL,1687,91.30434783,237.9355476,WN,AA
2012,4,WN,98.74720358,214.2703081,Table 1a,98.75,214.27,98.75,214.27,30140,31453,ABQ,HOU,759,242.9347826,214.4243893,WN,WN
2012,4,UA,17.94871795,323.5985714,Table 1a,41.03,316.2,41.03,316.2,30140,31703,ABQ,HPN,1830,4.239130435,343.9482051,DL,DL
2012,4,WN,19.06022502,247.2307639,Table 1a,71.08,331.28,19.06,247.23,30140,30852,ABQ,IAD,1628,164.2391304,312.5426539,UA,WN
2012,4,US,2.780191138,227.4815625,Table 1a,88.79,248.27,88.79,248.27,30140,31453,ABQ,IAH,744,125.1086957,245.9775413,UA,US
2012,4,WN,94.7826087,315.6321101,Table 1a,94.78,315.63,94.78,315.63,30140,31703,ABQ,ISP,1861,12.5,314.8348696,WN,WN
2012,4,US,11.27819549,324.346,Table 1a,38.35,296.08,36.09,294.94,30140,31703,ABQ,JFK,1826,28.91304348,301.6667293,AA,UA
2012,4,WN,63.96866841,175.4350558,Table 1a,63.97,175.44,11.92,173.82,30140,32575,ABQ,LAX,677,624.4565217,176.0164943,WN,UA
2012,4,WN,23.79367721,262.8389977,Table 1a,45.26,263.61,17.08,253.68,30140,31703,ABQ,LGA,1821,195.9782609,263.4458014,AA,UA
2012,4,US,95.8677686,170.3335345,Table 1a,95.87,170.33,95.87,170.33,30140,32575,ABQ,LGB,664,13.15217391,171.458843,US,US
2012,4,WN,92.98892989,240.7260714,Table 1a,92.99,240.73,92.99,240.73,30140,30977,ABQ,MDW,1121,176.7391304,237.2830873,WN,WN
2012,4,WN,89.31506849,303.7729755,Table 1a,89.32,303.77,89.32,303.77,30140,30721,ABQ,MHT,1955,39.67391304,302.7485753,WN,WN
2012,4,UA,14.68926554,255.6690385,Table 1a,61.58,276.53,14.69,255.67,30140,32467,ABQ,MIA,1689,38.47826087,270.2345763,AA,UA
2012,4,WN,94.08365438,195.2867593,Table 1a,94.08,195.29,94.08,195.29,30140,32457,ABQ,OAK,889,395,195.5936791,WN,WN
2012,4,WN,74.32432432,210.0535152,Table 1a,74.32,210.05,74.32,210.05,30140,32575,ABQ,ONT,630,72.39130435,216.5836637,WN,WN
2012,4,US,2.298850575,328.953125,Table 1a,60.99,254.99,60.99,254.99,30140,30977,ABQ,ORD,1118,151.3043478,257.226056,AA,DL
2012,4,WN,50.62893082,279.1573913,Table 1a,50.63,279.16,18.55,264.81,30140,33667,ABQ,ORF,1702,34.56521739,289.6739937,WN,AA
2012,4,US,20.68965517,321.0633333,Table 1a,67.24,341.41,20.69,321.06,30140,33667,ABQ,PHF,1685,6.304347826,338.9789655,DL,US
2012,4,WN,79.93197279,294.1713617,Table 1a,79.93,294.17,79.93,294.17,30140,30721,ABQ,PVD,1950,31.95652174,300.102517,WN,WN
2012,4,WN,50,181.0360294,Table 1a,50,181.04,50,181.04,30140,32457,ABQ,SFO,896,192.173913,199.7856561,WN,WN
2012,4,WN,76.12826603,216.67883,Table 1a,76.13,216.68,76.13,216.68,30140,32457,ABQ,SJC,870,91.52173913,223.9773872,WN,WN
2012,4,WN,67.56756757,215.064713,Table 1a,67.57,215.06,24.79,194.4,30140,32575,ABQ,SNA,650,92.5,207.4110693,WN,US
2012,4,WN,57.61078998,223.9160033,Table 1a,57.61,223.92,57.61,223.92,30140,33195,ABQ,TPA,1498,112.826087,227.5364836,WN,WN
2012,4,DL,96.96969697,215.2340625,Table 1a,96.97,215.23,96.97,215.23,30146,30852,ABY,BWI,676,3.586956522,215.94,DL,DL
2012,4,DL,95.28301887,316.9443564,Table 1a,95.28,316.94,95.28,316.94,30146,30852,ABY,DCA,646,11.52173913,316.0451887,DL,DL
2012,4,DL,94.44444444,306.8323529,Table 1a,94.44,306.83,94.44,306.83,30146,31703,ABY,EWR,843,3.913043478,304.1169444,DL,DL
2012,4,DL,90,239.1455556,Table 1a,90,239.15,90,239.15,30146,31703,ABY,HPN,879,1.086956522,229.599,DL,DL
2012,4,DL,96,247.9541667,Table 1a,96,247.95,96,247.95,30146,30852,ABY,IAD,637,2.717391304,247.5284,DL,DL
2012,4,DL,100,235.815,Table 1a,100,235.82,100,235.82,30146,31703,ABY,JFK,855,1.086956522,235.815,DL,DL
2012,4,DL,93.58974359,249.4006849,Table 1a,93.59,249.4,93.59,249.4,30146,31703,ABY,LGA,858,8.47826087,243.4423077,DL,DL
2012,4,99,100,276.6457143,Table 1a,,,,,30154,31703,ACK,EWR,218,1.52173913,276.6457143,99,99
2012,4,B6,78.77094972,161.2965957,Table 1a,78.77,161.3,78.77,161.3,30154,31703,ACK,JFK,199,19.45652174,178.1394972,B6,B6
2012,4,AA,100,248.0850943,Table 1a,100,248.09,100,248.09,30155,30852,ACT,BWI,1269,5.760869565,248.0850943,AA,AA
2012,4,AA,94.91525424,328.1308929,Table 1a,94.92,328.13,94.92,328.13,30155,30852,ACT,DCA,1243,6.413043478,341.6925424,AA,AA
2012,4,AA,100,324.8418182,Table 1a,100,324.84,100,324.84,30155,30852,ACT,IAD,1223,2.391304348,324.8418182,AA,AA
2012,4,AA,97.87234043,326.241087,Table 1a,97.87,326.24,97.87,326.24,30155,32575,ACT,LAX,1241,5.108695652,324.6495745,AA,AA
2012,4,AA,93.75,258.782,Table 1a,93.75,258.78,93.75,258.78,30155,32575,ACT,ONT,1195,1.739130435,276.7975,AA,AA
2012,4,AA,100,248.8416162,Table 1a,100,248.84,100,248.84,30155,30977,ACT,ORD,881,10.76086957,248.8416162,AA,AA
2012,4,AA,98.11320755,256.8692308,Table 1a,98.11,256.87,98.11,256.87,30155,32575,ACT,SNA,1210,5.760869565,257.7084906,AA,AA
