tbl,Date,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,200104,1580,37320,ALB,IAH,1481,65.76,199.49,US,32.06,152.42,US,32.06,152.42
Table 1a,200104,1580,63760,ALB,JFK,145,19.34,125.35,AA,99.43,124.73,AA,99.43,124.73
Table 1a,200104,1580,63760,ALB,LGA,136,12.17,139.9,US,100,139.9,US,100,139.9
Table 1a,200104,1580,18500,ALB,MDW,717,52.39,129,WN,95.02,125.44,WN,95.02,125.44
Table 1a,200104,1580,18500,ALB,ORD,723,224.56,168.56,UA,48.16,169.83,AA,39.49,167.62
Table 1a,200104,1580,87870,ALB,TPA,1130,215.21,112.88,US,37.77,119.79,DL,21.66,106.07
Table 1a,200104,2780,23210,AMA,DAL,324,516.52,63.67,WN,99.34,63.5,WN,99.34,63.5
Table 1a,200104,2780,96460,AMA,DCA,1383,9.56,317.34,AA,62.5,325.9,CO,17.04,179.66
Table 1a,200104,2780,23210,AMA,DFW,313,109.56,69.66,AA,86.5,69.94,DL,12.2,68.84
Table 1a,200104,2780,37320,AMA,EFD,545,0.43,122.25,CO,75,119.66,CO,75,119.66
Table 1a,200104,2780,63760,AMA,EWR,1544,7.93,243.08,AA,61.64,178.64,AA,61.64,178.64
Table 1a,200104,2780,37320,AMA,HOU,538,118.15,115.73,WN,97.6,116.17,AA,1.56,94
Table 1a,200104,2780,96460,AMA,IAD,1361,8.15,224.93,AA,61.33,247.65,CO,29.33,204.63
Table 1a,200104,2780,37320,AMA,IAH,518,110.65,110.63,CO,78.38,109.79,CO,78.38,109.79
Table 1a,200104,2780,63760,AMA,JFK,1565,0.76,484,AA,57.14,657.25,DL,14.28,331
Table 1a,200104,2780,63760,AMA,LGA,1560,12.06,217.42,AA,74.77,208.08,AA,74.77,208.08
Table 1a,200104,2780,18500,AMA,MDW,880,6.3,173.22,WN,48.27,147.46,WN,48.27,147.46
Table 1a,200104,2780,18500,AMA,ORD,879,18.15,194.26,AA,65.86,172.3,AA,65.86,172.3
Table 1a,200104,2780,87870,AMA,TPA,1234,12.93,157.82,AA,32.77,206.92,WN,20.16,127.25
Table 1a,200104,5540,96460,ASE,DCA,1598,1.08,182.4,UA,60,186.66,HP,20,157
Table 1a,200104,5540,23210,ASE,DFW,702,15.43,262.91,UA,81.69,268.05,HP,9.15,174.38
Table 1a,200104,5540,63760,ASE,EWR,1729,16.84,295.89,UA,83.22,307.59,HP,2.58,189
Table 1a,200104,5540,96460,ASE,IAD,1575,15,338.89,UA,91.3,339.26,UA,91.3,339.26
Table 1a,200104,5540,37320,ASE,IAH,914,19.02,225.53,UA,81.71,227.24,HP,11.42,198.9
Table 1a,200104,5540,63760,ASE,JFK,1750,0.21,265,NW,100,265,NW,100,265
Table 1a,200104,5540,63760,ASE,LGA,1744,33.47,365.12,UA,89.28,347.75,UA,89.28,347.75
Table 1a,200104,5540,18500,ASE,MDW,1020,0.21,263,,,,,,
Table 1a,200104,5540,18500,ASE,ORD,1013,28.69,243.18,UA,95.07,246.22,NW,1.51,207
Table 1a,200104,5850,23210,ATL,DAL,721,64.56,117.86,DL,95.62,118.78,CO,3.36,87.6
Table 1a,200104,5850,96460,ATL,DCA,547,620.32,197.18,DL,92.25,202.78,CO,1.03,72.84
Table 1a,200104,5850,23210,ATL,DFW,732,2123.15,138.26,DL,56.8,145.06,FL,10.29,106.16
Table 1a,200104,5850,37320,ATL,EFD,691,2.39,150.22,CO,100,150.22,CO,100,150.22
Table 1a,200104,5850,63760,ATL,EWR,745,2195.65,131.55,DL,51.82,134.49,CO,34.73,132.22
Table 1a,200104,5850,37320,ATL,HOU,696,567.39,119.16,DL,60.86,125.35,FL,35.76,108.48
Table 1a,200104,5850,96460,ATL,IAD,533,1934.34,120.07,DL,59.04,128.65,FL,21.65,100.97
Table 1a,200104,5850,37320,ATL,IAH,689,822.5,142.8,CO,51.15,144.47,DL,44.46,140.52
Table 1a,200104,5850,63760,ATL,JFK,760,172.06,122.78,DL,90.33,121.78,CO,1.2,65.31
Table 1a,200104,5850,63760,ATL,LGA,761,3156.63,130.77,DL,80.47,134.55,FL,13.94,104.91
Table 1a,200104,5850,18500,ATL,MDW,591,915.54,112.28,FL,65.8,111.87,DL,32.82,111.53
Table 1a,200104,5850,18500,ATL,ORD,605,1835.21,166.83,DL,54.81,172.25,AA,15.37,160.01
Table 1a,200104,5850,87870,ATL,TPA,406,1349.89,119.64,DL,73.37,122.97,FL,23.77,108.54
Table 1a,200104,4350,96460,ATW,DCA,701,15,166.44,UA,41.3,157.52,UA,41.3,157.52
Table 1a,200104,4350,23210,ATW,DFW,908,33.47,218.7,YX,51.94,230.95,UA,30.84,220.37
Table 1a,200104,4350,37320,ATW,EFD,1074,0.21,155,CO,100,155,CO,100,155
Table 1a,200104,4350,63760,ATW,EWR,772,14.34,229.28,NW,29.54,194.82,NW,29.54,194.82
Table 1a,200104,4350,37320,ATW,HOU,1074,0.86,226.62,DL,75,244.16,YX,25,174
Table 1a,200104,4350,96460,ATW,IAD,680,13.26,181.68,UA,45.08,191.01,DL,13.11,161.43
Table 1a,200104,4350,37320,ATW,IAH,1053,10.21,271.27,UA,52.12,238.69,UA,52.12,238.69
Table 1a,200104,4350,63760,ATW,JFK,793,0.97,85.11,NW,77.77,83.14,NW,77.77,83.14
Table 1a,200104,4350,63760,ATW,LGA,784,32.06,164.81,UA,40,161.53,NW,20.33,141.2
Table 1a,200104,4350,18500,ATW,ORD,161,12.6,225.85,UA,100,225.85,UA,100,225.85
Table 1a,200104,4350,87870,ATW,TPA,1171,17.82,186.07,UA,37.8,192.33,NW,31.09,157.82
Table 1a,200104,6100,23210,AUS,DAL,183,1024.34,79.8,WN,99.81,79.75,WN,99.81,79.75
Table 1a,200104,6100,96460,AUS,DCA,1314,77.93,265.14,AA,36.82,308.17,CO,19.38,245.03
Table 1a,200104,6100,23210,AUS,DFW,183,243.8,89.03,AA,76.01,90.39,DL,21.75,78.87
Table 1a,200104,6100,37320,AUS,EFD,160,4.34,62.37,CO,100,62.37,CO,100,62.37
Table 1a,200104,6100,63760,AUS,EWR,1501,243.36,284.63,CO,53.77,344.68,NW,15.05,96.9
Table 1a,200104,6100,37320,AUS,HOU,152,426.41,72.92,WN,98.11,73.04,AA,1.83,65.9
Table 1a,200104,6100,96460,AUS,IAD,1295,110.65,315.28,UA,43.02,329.57,DL,12.37,286.77
Table 1a,200104,6100,37320,AUS,IAH,143,136.19,80.84,CO,99.92,80.73,CO,99.92,80.73
Table 1a,200104,6100,63760,AUS,JFK,1519,15,235.38,AA,46.37,241.64,DL,22.46,194.93
Table 1a,200104,6100,63760,AUS,LGA,1518,248.04,274.85,AA,46.66,309.29,NJ,12.13,178.68
Table 1a,200104,6100,18500,AUS,MDW,967,96.95,136.8,WN,60.08,138.15,NJ,32.62,136.49
Table 1a,200104,6100,18500,AUS,ORD,973,504.34,157.19,AA,67.69,159.77,UA,22.19,152.1
Table 1a,200104,6100,87870,AUS,TPA,930,217.71,115.06,WN,43.08,127.26,NW,10.08,72.9
Table 1a,200104,5420,23210,AVL,DAL,839,1.19,208.81,DL,100,208.81,DL,100,208.81
Table 1a,200104,5420,96460,AVL,DCA,384,18.04,182.55,US,69.27,187.41,DL,26.5,175.63
Table 1a,200104,5420,23210,AVL,DFW,848,28.91,201.54,DL,58.27,217.67,US,39.09,170.66
Table 1a,200104,5420,63760,AVL,EWR,582,73.91,173.38,CO,79.85,172.06,US,13.97,165.95
Table 1a,200104,5420,37320,AVL,HOU,843,3.69,274.97,DL,91.17,281.45,DL,91.17,281.45
Table 1a,200104,5420,96460,AVL,IAD,370,12.71,213.87,US,60.68,194.71,US,60.68,194.71
Table 1a,200104,5420,37320,AVL,IAH,834,15.97,194.72,US,69.38,174.87,US,69.38,174.87
Table 1a,200104,5420,63760,AVL,JFK,597,1.3,162.58,DL,91.66,166.45,DL,91.66,166.45
Table 1a,200104,5420,63760,AVL,LGA,598,28.69,168.18,US,73.86,164.65,US,73.86,164.65
Table 1a,200104,5420,18500,AVL,MDW,521,1.19,200.72,DL,81.81,211.11,DL,81.81,211.11
Table 1a,200104,5420,18500,AVL,ORD,536,31.3,192.37,US,70.48,177.99,US,70.48,177.99
Table 1a,200104,5420,87870,AVL,TPA,514,42.17,154.18,US,60.05,146.55,US,60.05,146.55
Table 1a,200104,82600,87870,AVP,TPA,999,35.97,151.18,US,83.98,142.44,US,83.98,142.44
Table 1a,200104,41900,96460,AZO,DCA,505,18.26,169.73,NW,59.52,185.41,AA,14.88,106.48
Table 1a,200104,41900,63760,AZO,EWR,600,34.45,274.47,NW,62.77,298.4,AA,16.08,210.39
Table 1a,200104,41900,96460,AZO,IAD,483,13.69,200.96,NW,50,189.39,US,17.46,159.68
Table 1a,200104,41900,63760,AZO,JFK,621,0.97,299.55,NW,88.88,264.12,NW,88.88,264.12
Table 1a,200104,41900,63760,AZO,LGA,614,28.91,169.66,NW,54.88,168.54,US,11.65,153.74
Table 1a,200104,41900,87870,AZO,TPA,998,37.28,155.06,NW,59.76,165.88,NW,59.76,165.88
Table 1a,200104,35510,96460,BDL,DCA,313,36.73,150.21,US,90.82,153.63,US,90.82,153.63
Table 1a,200104,35510,37320,BDL,EFD,1515,0.86,119.75,CO,100,119.75,CO,100,119.75
Table 1a,200104,35510,63760,BDL,EWR,116,18.69,208.65,CO,99.41,209.18,CO,99.41,209.18
Table 1a,200104,35510,37320,BDL,HOU,1519,74.67,183.85,WN,75.83,179.76,WN,75.83,179.76
Table 1a,200104,35510,96460,BDL,IAD,326,105,150.78,UA,88.81,149.23,US,8.9,145.96
Table 1a,200104,35510,37320,BDL,IAH,1507,161.73,197.72,CO,38.3,192.57,NW,12.9,126
Table 1a,200104,35510,63760,BDL,JFK,106,11.52,146.1,AA,100,146.1,AA,100,146.1
Table 1a,200104,35510,87870,BDL,TPA,1112,573.15,115.62,DL,61.12,112.28,DL,61.12,112.28
Table 1a,200104,6920,23210,BFL,DFW,1271,30.43,163.36,HP,45,182.67,AA,11.78,127.84
Table 1a,200104,6920,37320,BFL,IAH,1428,27.6,227.4,HP,83.85,224.41,UA,4.33,177.45
Table 1a,200104,6920,18500,BFL,MDW,1739,0.1,324,,,,,,
Table 1a,200104,6920,18500,BFL,ORD,1733,17.28,211.86,UA,67.29,210.59,HP,20.75,187.87
Table 1a,200104,10940,23210,BGM,DFW,1318,13.26,321.54,US,79.5,312.59,NW,9.01,303.72
Table 1a,200104,10940,37320,BGM,IAH,1367,11.73,220.3,US,80.55,205.29,US,80.55,205.29
Table 1a,200104,10940,18500,BGM,MDW,607,1.41,218.69,NW,100,218.69,NW,100,218.69
Table 1a,200104,10940,18500,BGM,ORD,613,12.28,244.32,US,74.33,246.03,UA,14.15,228.75
Table 1a,200104,10940,87870,BGM,TPA,1048,25.32,137.42,US,88.84,136.48,NW,4.29,133
Table 1a,200104,7540,96460,BGR,DCA,590,12.93,181.29,US,46.21,218.27,AA,40.33,149.2
Table 1a,200104,7540,23210,BGR,DFW,1717,14.45,226.77,AA,59.39,216.63,AA,59.39,216.63
Table 1a,200104,7540,63760,BGR,EWR,393,7.28,191.4,AA,58.2,184.89,AA,58.2,184.89
Table 1a,200104,7540,96460,BGR,IAD,601,4.78,220.43,DL,70.45,226.41,US,2.27,66
Table 1a,200104,7540,63760,BGR,JFK,382,5.65,165.17,AA,67.3,159.82,AA,67.3,159.82
Table 1a,200104,7540,63760,BGR,LGA,378,28.15,163.14,AA,50.57,144.96,AA,50.57,144.96
Table 1a,200104,7540,18500,BGR,MDW,975,0.21,157,DL,100,157,DL,100,157
Table 1a,200104,7540,18500,BGR,ORD,978,14.45,212.24,AA,68.42,194.86,AA,68.42,194.86
Table 1a,200104,7540,87870,BGR,PIE,1394,5,109.93,PN,100,109.93,PN,100,109.93
Table 1a,200104,7540,87870,BGR,TPA,1385,23.15,159.26,DL,71.83,164.24,US,17.84,134.07
Table 1a,200104,11030,23210,BHM,DAL,587,58.36,147.61,WN,95.53,147.62,WN,95.53,147.62
Table 1a,200104,11030,96460,BHM,DCA,654,26.52,261.13,DL,60.65,280.37,US,30.32,244.9
Table 1a,200104,11030,23210,BHM,DFW,597,175.86,167.65,AA,66.81,164.31,AA,66.81,164.31
Table 1a,200104,11030,37320,BHM,EFD,565,0.86,118,CO,100,118,CO,100,118
Table 1a,200104,11030,63760,BHM,EWR,850,117.82,209.78,CO,56.64,228.78,NW,12.63,102.98
Table 1a,200104,11030,37320,BHM,HOU,570,191.52,118,WN,97.04,117.77,DL,2.49,116.7
Table 1a,200104,11030,96460,BHM,IAD,638,29.02,222.88,DL,43.07,275.14,UA,17.97,90.2
Table 1a,200104,11030,37320,BHM,IAH,562,128.91,126.38,CO,87.77,127.77,NW,4.3,66.92
Table 1a,200104,11030,63760,BHM,JFK,866,3.26,173,DL,80,162.2,NW,6.66,92
Table 1a,200104,11030,63760,BHM,LGA,866,145.76,202.39,DL,81.65,207.57,US,12.75,178.99
Table 1a,200104,11030,18500,BHM,MDW,570,229.67,118.98,WN,97.53,118.13,WN,97.53,118.13
Table 1a,200104,11030,18500,BHM,ORD,584,101.95,143.42,DL,47.97,148.35,NW,13.43,126.16
Table 1a,200104,11030,87870,BHM,TPA,459,251.73,98.14,WN,83.5,92.05,WN,83.5,92.05
Table 1a,200104,10830,96460,BIL,DCA,1671,8.8,315.2,NW,90.12,322.82,UA,2.46,151
Table 1a,200104,10830,23210,BIL,DFW,1081,32.06,222.06,UA,45.76,192.85,UA,45.76,192.85
Table 1a,200104,10830,63760,BIL,EWR,1756,10.21,271.27,NW,51.06,284.14,DL,27.65,198.11
Table 1a,200104,10830,37320,BIL,HOU,1327,0.21,197,DL,100,197,DL,100,197
Table 1a,200104,10830,96460,BIL,IAD,1648,14.34,271.56,UA,43.18,261.15,DL,31.81,223.14
Table 1a,200104,10830,37320,BIL,IAH,1304,25.1,278.08,UA,43.72,260.34,NW,15.15,229.88
Table 1a,200104,10830,63760,BIL,JFK,1776,3.26,322.4,DL,60,254.77,DL,60,254.77
Table 1a,200104,10830,63760,BIL,LGA,1768,8.69,302.76,NW,55,350.7,UA,38.75,256.77
Table 1a,200104,10830,18500,BIL,MDW,1073,2.39,301.68,NW,86.36,285.68,NW,86.36,285.68
Table 1a,200104,10830,18500,BIL,ORD,1060,27.5,262.49,UA,49.4,263.85,DL,12.25,197.45
Table 1a,200104,11160,96460,BIS,DCA,1317,11.63,305.71,NW,100,305.71,NW,100,305.71
Table 1a,200104,11160,23210,BIS,DFW,978,14.45,265.37,NW,69.92,248.82,NW,69.92,248.82
Table 1a,200104,11160,63760,BIS,EWR,1388,5.76,288.88,NW,90.56,292.22,CO,3.77,194
Table 1a,200104,11160,96460,BIS,IAD,1294,6.52,311.45,NW,71.66,267.69,NW,71.66,267.69
Table 1a,200104,11160,37320,BIS,IAH,1194,11.52,314.76,NW,86.79,330.3,UA,5.66,171.66
Table 1a,200104,11160,63760,BIS,JFK,1408,0.43,306.5,NW,75,281.66,NW,75,281.66
Table 1a,200104,11160,63760,BIS,LGA,1399,5.54,335.62,NW,80.39,335.48,UA,11.76,189
