Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2013,3,Table 1a,100,729.33,100,729.33,30135,32575,ABE,BUR,2378,0.326086957,729.3333333,US,US
2013,3,Table 1a,50,236.75,50,236.75,30135,30647,ABE,CAK,315,0.869565217,263.375,US,US
2013,3,Table 1a,58.33,299.45,15.48,247.91,30135,30647,ABE,CLE,339,9.130434783,292.06,US,UA
2013,3,Table 1a,100,264.29,100,264.29,30135,30194,ABE,DAL,1300,0.326086957,264.29,DL,DL
2013,3,Table 1a,48.25,337.93,38.16,295.89,30135,30194,ABE,DFW,1307,24.7826087,320.3935965,US,DL
2013,3,Table 1a,57.85,284.46,32.23,247.55,30135,32467,ABE,FLL,1041,13.15217391,269.737686,US,DL
2013,3,Table 1a,100,288.8,100,288.8,30135,31453,ABE,HOU,1350,1.630434783,288.8,DL,DL
2013,3,Table 1a,44.89,331.51,19.89,287.67,30135,31453,ABE,IAH,1339,19.13043478,308.5348864,US,DL
2013,3,Table 1a,38.24,326.6,38.24,326.6,30135,32575,ABE,LAX,2388,25.86956522,397.9331092,UA,UA
2013,3,Table 1a,100,298,100,298,30135,32575,ABE,LGB,2378,0.217391304,298,US,US
2013,3,Table 1a,100,393.2,100,393.2,30135,30977,ABE,MDW,646,0.543478261,393.2,DL,DL
2013,3,Table 1a,48,265.74,48,265.74,30135,32467,ABE,MIA,1061,8.152173913,276.7789333,DL,DL
2013,3,Table 1a,44.44,544.64,33.33,490.33,30135,32457,ABE,OAK,2490,0.97826087,481.84,DL,US
2013,3,Table 1a,72.73,497.88,27.27,386.33,30135,32575,ABE,ONT,2342,1.195652174,467.4545455,US,UA
2013,3,Table 1a,54.75,272.21,54.75,272.21,30135,30977,ABE,ORD,654,28.58695652,302.1386692,US,US
2013,3,Table 1a,100,104.78,100,104.78,30135,33195,ABE,PIE,970,127.9347826,104.7807986,G4,G4
2013,3,Table 1a,51.59,354.32,51.59,354.32,30135,32457,ABE,SFO,2500,17.06521739,396.5653503,UA,UA
2013,3,Table 1a,47.62,521.9,33.33,224.93,30135,32457,ABE,SJC,2483,2.282608696,446.6190476,DL,UA
2013,3,Table 1a,67.05,327.1,21.59,324.04,30135,32575,ABE,SNA,2367,9.565217391,343.0706818,UA,DL
2013,3,Table 1a,55.56,307.03,40.48,290.22,30135,33195,ABE,TPA,962,13.69565217,297.0062698,US,DL
2013,3,Table 1a,0,0,0,9999,30136,32575,ABI,BUR,1086,0.217391304,261,,
2013,3,Table 1a,100,299.91,100,299.91,30136,30852,ABI,BWI,1370,5.326086957,299.9114286,AA,AA
2013,3,Table 1a,100,239.22,100,239.22,30136,30852,ABI,DCA,1345,5.543478261,239.2217647,AA,AA
2013,3,Table 1a,100,147.34,100,147.34,30136,30194,ABI,DFW,158,21.84782609,147.3425373,AA,AA
2013,3,Table 1a,96.67,311.79,96.67,311.79,30136,31703,ABI,EWR,1523,3.260869565,316.8296667,AA,AA
2013,3,Table 1a,100,193.36,100,193.36,30136,31453,ABI,HOU,323,7.173913044,193.3636364,AA,AA
2013,3,Table 1a,95.35,236.71,95.35,236.71,30136,30852,ABI,IAD,1325,4.673913044,234.0323256,AA,AA
2013,3,Table 1a,98.88,175.91,98.88,175.91,30136,31453,ABI,IAH,307,9.673913044,179.7965169,AA,AA
2013,3,Table 1a,87.5,260.47,87.5,260.47,30136,31703,ABI,JFK,1542,0.869565217,276.355,AA,AA
2013,3,Table 1a,97.85,256.02,97.85,256.02,30136,32575,ABI,LAX,1089,10.10869565,257.4131183,AA,AA
2013,3,Table 1a,98.57,278.13,98.57,278.13,30136,31703,ABI,LGA,1539,7.608695652,277.3285714,AA,AA
2013,3,Table 1a,0,0,0,9999,30136,30977,ABI,MDW,921,0.108695652,564,,
2013,3,Table 1a,100,259.84,100,259.84,30136,32575,ABI,ONT,1043,2.065217391,259.8421053,AA,AA
2013,3,Table 1a,98.96,209.42,98.96,209.42,30136,30977,ABI,ORD,924,10.43478261,217.8175,AA,AA
2013,3,Table 1a,100,228.61,100,228.61,30136,32575,ABI,SNA,1058,3.695652174,228.6117647,AA,AA
2013,3,Table 1a,64,230.29,31.1,161.63,30140,30423,ABQ,AUS,619,157.6086957,209.7124552,WN,AA
2013,3,Table 1a,41.02,217.21,41.02,217.21,30140,30721,ABQ,BOS,1974,217.2826087,238.9017009,AA,AA
2013,3,Table 1a,88.98,205.58,88.98,205.58,30140,32575,ABQ,BUR,672,55.2173913,209.2005118,WN,WN
2013,3,Table 1a,79.07,240.12,11.21,219.76,30140,30852,ABQ,BWI,1670,328.8043478,239.1942446,WN,AA
2013,3,Table 1a,54.72,267.41,54.72,267.41,30140,30647,ABQ,CAK,1427,5.760869565,285.4586793,WN,WN
2013,3,Table 1a,37.99,242.3,37.99,242.3,30140,30647,ABQ,CLE,1411,49.7826087,272.2900437,WN,WN
2013,3,Table 1a,99.77,197.83,99.77,197.83,30140,30194,ABQ,DAL,580,382.9347826,197.8750525,WN,WN
2013,3,Table 1a,27.84,329.34,11.71,197.05,30140,30852,ABQ,DCA,1650,125.326087,296.7098699,AA,F9
2013,3,Table 1a,96.81,191.63,96.81,191.63,30140,30194,ABQ,DFW,569,215,192.1724368,AA,AA
2013,3,Table 1a,29.4,204.73,21.99,203.02,30140,31703,ABQ,EWR,1805,140.8695652,224.716929,AA,DL
2013,3,Table 1a,36.25,196.11,22.44,189.92,30140,32467,ABQ,FLL,1687,100.7608696,201.8647681,AA,DL
2013,3,Table 1a,98.84,246.11,98.84,246.11,30140,31453,ABQ,HOU,759,216.0869565,246.2610966,WN,WN
2013,3,Table 1a,46.15,346.67,15.38,301,30140,31703,ABQ,HPN,1830,1.413043478,343.9230769,DL,UA
