Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2007,2,Table 1a,38.71,367.60,10.22,280.95,02200,23210,ABE,DFW,1308,20.43956044,344.01833333,US,NW
2007,2,Table 1a,93.33,313.45,93.33,313.45,02200,37320,ABE,HOU,1351,1.6483516484,306.11666667,DL,DL
2007,2,Table 1a,32.35,260.24,32.35,260.24,02200,37320,ABE,IAH,1339,18.681318681,284.99247059,US,US
2007,2,Table 1a,81.25,244.00,81.25,244.00,02200,18500,ABE,MDW,646,1.7582417582,249.0575,NW,NW
2007,2,Table 1a,92.55,219.19,92.55,219.19,02200,18500,ABE,ORD,654,123.84615385,221.66015084,UA,UA
2007,2,Table 1a,100.00,100.29,100.00,100.29,02200,87870,ABE,PIE,971,125.82417582,100.29310917,G4,G4
2007,2,Table 1a,64.27,169.42,19.11,140.84,02200,87870,ABE,TPA,963,39.67032967,167.04069252,US,DL
2007,2,Table 1a,100.00,107.81,100.00,107.81,00300,23210,ABI,DFW,158,33.406593407,107.80970395,AA,AA
2007,2,Table 1a,65.12,323.45,30.23,317.64,00300,63760,ABI,EWR,1523,4.7252747253,326.84116279,AA,CO
2007,2,Table 1a,100.00,182.43,100.00,182.43,00300,63760,ABI,JFK,1542,0.989010989,182.42666667,AA,AA
2007,2,Table 1a,81.40,185.84,81.40,185.84,00300,63760,ABI,LGA,1539,9.4505494505,197.97151163,AA,AA
2007,2,Table 1a,0.00,0.00,0.00,9999.00,00300,18500,ABI,MDW,921,0.5494505495,167.622,,
2007,2,Table 1a,93.16,197.49,93.16,197.49,00300,18500,ABI,ORD,924,12.857142857,204.05641026,AA,AA
2007,2,Table 1a,99.85,131.75,99.85,131.75,01680,23210,ABQ,DAL,580,572.08791209,131.86769689,WN,WN
2007,2,Table 1a,47.48,262.95,47.48,262.95,01680,96460,ABQ,DCA,1650,266.37362637,252.89627475,AA,AA
2007,2,Table 1a,95.88,142.57,95.88,142.57,01680,23210,ABQ,DFW,569,277.36263736,144.00986926,AA,AA
2007,2,Table 1a,63.47,221.11,18.44,214.38,01680,63760,ABQ,EWR,1805,243.07692308,221.2689783,CO,AA
2007,2,Table 1a,98.94,147.62,98.94,147.62,01680,37320,ABQ,HOU,759,269.23076923,148.12422857,WN,WN
2007,2,Table 1a,68.99,250.89,11.54,243.90,01680,96460,ABQ,IAD,1628,219.01098901,245.74790266,UA,AA
2007,2,Table 1a,92.55,168.87,92.55,168.87,01680,37320,ABQ,IAH,744,181.53846154,170.50177361,CO,CO
