tbl,Date,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,200501,2200,23210,ABE,DFW,1308,33.33,282.85,DL,33.66,255.76,DL,33.66,255.76
Table 1a,200501,2200,37320,ABE,HOU,1351,2.55,268.13,DL,69.56,274.43,DL,69.56,274.43
Table 1a,200501,2200,37320,ABE,IAH,1339,19.33,215.96,US,24.13,211,UA,18.96,191.75
Table 1a,200501,2200,18500,ABE,MDW,646,3.55,224.37,NW,40.62,244.46,DL,15.62,174.4
Table 1a,200501,2200,18500,ABE,ORD,654,71.33,243.09,UA,87.85,245.91,CO,2.18,182
Table 1a,200501,2200,87870,ABE,TPA,963,70.88,138.16,DL,42,131.2,DL,42,131.2
Table 1a,200501,300,23210,ABI,DFW,158,21.11,108.14,AA,99.47,108.14,AA,99.47,108.14
Table 1a,200501,1680,23210,ABQ,DAL,580,459.55,124.12,WN,99.73,124.12,WN,99.73,124.12
Table 1a,200501,1680,96460,ABQ,DCA,1650,267,199.3,AA,50.81,189.39,AA,50.81,189.39
Table 1a,200501,1680,23210,ABQ,DFW,569,233.33,133.25,AA,94,133.05,AA,94,133.05
Table 1a,200501,1680,63760,ABQ,EWR,1805,92.22,241.2,AA,34.57,207.68,AA,34.57,207.68
Table 1a,200501,1680,37320,ABQ,HOU,759,137.11,163.62,WN,98.86,163.36,WN,98.86,163.36
Table 1a,200501,1680,96460,ABQ,IAD,1628,125.88,201.11,UA,37.77,236.93,DL,20.12,173.35
Table 1a,200501,1680,37320,ABQ,IAH,744,182.77,168.41,CO,86.99,170.19,AA,3.03,138.8
Table 1a,200501,1680,63760,ABQ,JFK,1825,36.11,202.04,AA,41.53,185.8,AA,41.53,185.8
Table 1a,200501,1680,63760,ABQ,LGA,1821,168.88,197.28,AA,35,207.52,DL,21.57,186.98
Table 1a,200501,1680,18500,ABQ,MDW,1121,80.33,165.65,WN,82.01,165.73,WN,82.01,165.73
Table 1a,200501,1680,18500,ABQ,ORD,1118,176.88,180.3,AA,74.62,177.53,AA,74.62,177.53
Table 1a,200501,1680,87870,ABQ,TPA,1497,134.33,161.1,WN,48.88,151.9,WN,48.88,151.9
Table 1a,200501,1540,96460,ABY,DCA,647,10.77,296.1,DL,98.96,292.46,DL,98.96,292.46
Table 1a,200501,1540,63760,ABY,EWR,844,7.44,222.97,DL,97.01,225.35,DL,97.01,225.35
Table 1a,200501,1540,96460,ABY,IAD,637,2.55,259.26,DL,100,259.26,DL,100,259.26
Table 1a,200501,1540,63760,ABY,JFK,856,0.55,240.2,DL,100,240.2,DL,100,240.2
Table 1a,200501,1540,63760,ABY,LGA,859,5.66,264.07,DL,98.03,262.12,DL,98.03,262.12
Table 1a,200501,95810,96460,ACT,DCA,1243,10.33,278.6,AA,83.87,272.16,AA,83.87,272.16
Table 1a,200501,95810,96460,ACT,IAD,1223,2.77,257.92,AA,96,258.33,AA,96,258.33
Table 1a,200501,5870,87870,ACY,TPA,914,248.66,117.04,NK,98.92,116.61,NK,98.92,116.61
Table 1a,200501,1910,23210,AEX,DAL,273,0.66,189.5,DL,50,159.33,DL,50,159.33
Table 1a,200501,1910,96460,AEX,DCA,1018,16.22,244.89,CO,36.98,217.07,CO,36.98,217.07
Table 1a,200501,1910,23210,AEX,DFW,285,13,227.96,CO,40.17,249.1,DL,37.6,164.22
Table 1a,200501,1910,63760,AEX,EWR,1211,8.55,253.38,CO,59.74,262.26,NW,12.98,174.1
Table 1a,200501,1910,96460,AEX,IAD,1001,3.55,234.5,DL,46.87,284.73,NW,21.87,157.85
Table 1a,200501,1910,37320,AEX,IAH,190,19,182.81,CO,98.83,183.64,CO,98.83,183.64
Table 1a,200501,1910,63760,AEX,JFK,1228,1.88,250.29,DL,52.94,331.55,CO,29.41,139
Table 1a,200501,1910,63760,AEX,LGA,1228,13.44,207.48,CO,46.28,199.08,NW,23.96,192
Table 1a,200501,1910,18500,AEX,MDW,769,2.55,197.78,NW,73.91,197.05,NW,73.91,197.05
Table 1a,200501,1910,18500,AEX,ORD,778,11.66,210.22,CO,42.85,219.93,NW,35.23,209.02
Table 1a,200501,5980,96460,AGS,DCA,468,29.22,184.22,DL,69.96,184.32,US,26.23,174.47
Table 1a,200501,5980,23210,AGS,DFW,874,22.77,233.83,DL,76.58,253.86,US,19.02,148.56
Table 1a,200501,5980,63760,AGS,EWR,663,21,210.96,DL,54.49,212.76,US,37.56,197.87
Table 1a,200501,5980,37320,AGS,HOU,826,4.88,245.54,DL,95.45,244.04,CO,2.27,277
Table 1a,200501,5980,96460,AGS,IAD,459,6.77,236.42,US,37.7,212.47,US,37.7,212.47
Table 1a,200501,5980,37320,AGS,IAH,821,11.55,207.03,DL,58.65,206.18,US,23.07,174.29
Table 1a,200501,5980,63760,AGS,JFK,675,2,185.5,DL,88.88,191.06,DL,88.88,191.06
Table 1a,200501,5980,63760,AGS,LGA,678,16.77,203.29,DL,56.29,210.82,US,40.39,187.5
Table 1a,200501,5980,18500,AGS,MDW,661,5.22,210.1,DL,100,210.1,DL,100,210.1
Table 1a,200501,5980,18500,AGS,ORD,677,18.44,224.86,DL,76.5,230.58,DL,76.5,230.58
Table 1a,200501,5980,87870,AGS,TPA,373,10.55,219.71,DL,78.94,224.12,US,18.94,210.16
Table 1a,200501,1580,23210,ALB,DAL,1427,0.66,265.16,WN,66.66,280.25,CO,33.33,235
Table 1a,200501,1580,96460,ALB,DCA,318,88.22,154.68,US,98.74,153.4,US,98.74,153.4
Table 1a,200501,1580,23210,ALB,DFW,1435,87.77,235.55,AA,19.36,295.32,CO,18.48,148.26
Table 1a,200501,1580,63760,ALB,EWR,143,23.66,191.82,CO,99.06,191.78,CO,99.06,191.78
Table 1a,200501,1580,37320,ALB,HOU,1495,21.22,206.13,WN,62.3,194.95,WN,62.3,194.95
Table 1a,200501,1580,96460,ALB,IAD,325,168.11,97.16,DH,67.28,88.5,DH,67.28,88.5
Table 1a,200501,1580,37320,ALB,IAH,1482,58.33,225.51,CO,28.19,267.24,US,16,188.21
Table 1a,200501,1580,63760,ALB,JFK,145,0.11,732,,,,,,
Table 1a,200501,1580,63760,ALB,LGA,136,12.22,216.89,US,100,216.89,US,100,216.89
Table 1a,200501,1580,18500,ALB,MDW,717,27.33,152.93,WN,88.21,150.28,NW,9.34,166.91
Table 1a,200501,1580,18500,ALB,ORD,723,179.77,179.2,UA,65.63,178.42,UA,65.63,178.42
Table 1a,200501,1580,87870,ALB,TPA,1130,371,120.99,US,32.79,117.87,US,32.79,117.87
Table 1a,200501,2780,23210,AMA,DAL,324,424.77,73.88,WN,99.42,73.7,WN,99.42,73.7
Table 1a,200501,2780,96460,AMA,DCA,1383,18.88,272.81,AA,74.11,287.05,CO,20.58,231.31
Table 1a,200501,2780,23210,AMA,DFW,313,94.66,99.98,AA,95.77,100.11,AA,95.77,100.11
Table 1a,200501,2780,63760,AMA,EWR,1544,7.88,230.61,AA,49.29,211.82,AA,49.29,211.82
Table 1a,200501,2780,37320,AMA,HOU,538,109.88,118.26,WN,99.69,118.24,WN,99.69,118.24
Table 1a,200501,2780,96460,AMA,IAD,1361,4.88,250.18,AA,65.9,228.34,AA,65.9,228.34
Table 1a,200501,2780,37320,AMA,IAH,519,116.66,118.21,CO,76.19,118.04,WN,16.66,109.51
Table 1a,200501,2780,63760,AMA,JFK,1564,1.11,219.6,AA,70,178.85,AA,70,178.85
Table 1a,200501,2780,63760,AMA,LGA,1560,10.44,258.19,AA,87.23,252.35,AA,87.23,252.35
Table 1a,200501,2780,18500,AMA,MDW,880,2.11,194.26,AA,84.21,189.25,AA,84.21,189.25
Table 1a,200501,2780,18500,AMA,ORD,879,17,240.56,AA,67.32,243.47,CO,21.56,205.21
Table 1a,200501,2780,87870,AMA,TPA,1234,12.88,196.12,CO,43.1,207.24,WN,29.31,182.88
Table 1a,200501,5540,96460,ASE,DCA,1598,6.44,340.01,NW,72.41,328.14,UA,24.13,235.07
Table 1a,200501,5540,23210,ASE,DFW,701,31.55,223.62,UA,91.54,222.81,HP,5.98,257.11
Table 1a,200501,5540,63760,ASE,EWR,1729,44,312.84,UA,69.94,305.8,UA,69.94,305.8
Table 1a,200501,5540,96460,ASE,IAD,1574,36.88,307.63,UA,91.56,308.83,NW,5.42,309.22
Table 1a,200501,5540,37320,ASE,IAH,914,32.33,248.45,UA,93.12,248.35,HP,2.4,267.57
Table 1a,200501,5540,63760,ASE,JFK,1750,3,372.48,NW,44.44,380.83,NW,44.44,380.83
Table 1a,200501,5540,63760,ASE,LGA,1744,119.55,359.21,UA,82.52,355.78,UA,82.52,355.78
Table 1a,200501,5540,18500,ASE,MDW,1020,2.66,265,NW,58.33,271.85,NW,58.33,271.85
Table 1a,200501,5540,18500,ASE,ORD,1013,84.22,263.64,UA,89.18,255.63,HP,1.05,260.87
Table 1a,200501,5540,87870,ASE,TPA,1596,21.44,300.06,UA,82.9,293.15,UA,82.9,293.15
Table 1a,200501,5850,23210,ATL,DAL,721,4.22,182.23,CO,65.78,161.64,CO,65.78,161.64
Table 1a,200501,5850,96460,ATL,DCA,547,1880.11,137.73,DL,70.66,150.6,FL,17.65,103.9
Table 1a,200501,5850,23210,ATL,DFW,732,2347.11,156.82,DL,48.17,158.34,FL,12.4,139.71
Table 1a,200501,5850,63760,ATL,EWR,745,2336.55,141.81,DL,47.95,149.73,FL,14.04,123.37
Table 1a,200501,5850,37320,ATL,HOU,696,559.88,147.17,DL,53.78,149.47,FL,43.59,142.73
Table 1a,200501,5850,96460,ATL,IAD,533,1489.44,111.52,DL,50.73,119.24,DH,16.13,90.41
Table 1a,200501,5850,37320,ATL,IAH,689,814.11,164.16,CO,51.31,163.08,CO,51.31,163.08
Table 1a,200501,5850,63760,ATL,JFK,760,320.11,145.82,DL,88.4,145.39,DH,2.42,139.08
Table 1a,200501,5850,63760,ATL,LGA,761,3188.11,147.44,DL,70.14,156.03,FL,23.19,123.35
Table 1a,200501,5850,18500,ATL,MDW,590,677.44,124.1,FL,65.5,123.88,FL,65.5,123.88
Table 1a,200501,5850,18500,ATL,ORD,606,1879,147.88,DL,44.52,151.68,AA,23.45,136.63
Table 1a,200501,5850,87870,ATL,TPA,406,1503.55,148.87,DL,72.89,153.19,FL,25,135.04
Table 1a,200501,4350,96460,ATW,DCA,702,22.33,156.66,NW,35.32,132.84,NW,35.32,132.84
Table 1a,200501,4350,23210,ATW,DFW,908,32.66,211.33,YX,43.87,203.16,YX,43.87,203.16
Table 1a,200501,4350,63760,ATW,EWR,772,13.88,202.89,NW,40,209.24,YX,32.8,156.97
Table 1a,200501,4350,37320,ATW,HOU,1074,1.88,219.64,DL,76.47,225,NW,11.76,209
Table 1a,200501,4350,96460,ATW,IAD,680,7,175.47,UA,44.44,228.75,NW,36.5,132.47
Table 1a,200501,4350,37320,ATW,IAH,1053,15,218.88,UA,45.92,215.79,NW,28.14,199.84
Table 1a,200501,4350,63760,ATW,JFK,793,2.11,170,NW,63.15,166.91,NW,63.15,166.91
Table 1a,200501,4350,63760,ATW,LGA,784,31,181.02,YX,31.89,176.38,NW,31.18,155.24
Table 1a,200501,4350,18500,ATW,ORD,160,23.33,168.6,UA,100,168.6,UA,100,168.6
Table 1a,200501,4350,87870,ATW,TPA,1171,44.66,155.93,NW,34.32,151.71,UA,16.91,149.61
Table 1a,200501,6100,23210,AUS,DAL,189,941,90.68,WN,99.85,90.63,WN,99.85,90.63
Table 1a,200501,6100,96460,AUS,DCA,1316,200.11,217.5,AA,49.58,223.16,DL,17.87,188.21
Table 1a,200501,6100,23210,AUS,DFW,190,310.66,97.03,AA,96.31,96.98,AA,96.31,96.98
Table 1a,200501,6100,63760,AUS,EWR,1504,272.44,307.39,CO,73.36,324.75,AA,12.07,278.78
Table 1a,200501,6100,37320,AUS,HOU,148,374.22,90.41,WN,98.09,90.52,AA,1.9,84.79
Table 1a,200501,6100,96460,AUS,IAD,1297,164.77,237.93,UA,67.43,237.76,UA,67.43,237.76
Table 1a,200501,6100,37320,AUS,IAH,140,155.33,92.3,CO,99.71,91.81,CO,99.71,91.81
