Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2013,2,Table 1a,95.51,331.23,95.51,331.23,30135,30721,ABE,BOS,259,9.78021978,330.4624719,US,US
2013,2,Table 1a,50,200.37,50,200.37,30135,32575,ABE,BUR,2378,0.43956044,228.7475,DL,DL
2013,2,Table 1a,100,205.64,100,205.64,30135,30194,ABE,DAL,1300,0.659340659,205.6366667,DL,DL
2013,2,Table 1a,48.34,330.34,11.85,301.58,30135,30194,ABE,DFW,1307,23.18681319,321.6916588,US,UA
2013,2,Table 1a,48.92,250.89,36.69,208,30135,32467,ABE,FLL,1041,15.27472528,230.037554,US,DL
2013,2,Table 1a,100,299.65,100,299.65,30135,31453,ABE,HOU,1350,2.417582418,299.6454546,DL,DL
2013,2,Table 1a,37.14,389.17,25.71,298.94,30135,31453,ABE,IAH,1339,19.23076923,345.2489714,US,DL
2013,2,Table 1a,52.66,303.34,52.66,303.34,30135,32575,ABE,LAX,2388,22.74725275,347.4007246,UA,UA
2013,2,Table 1a,100,310.75,100,310.75,30135,30977,ABE,MDW,646,0.769230769,310.75,DL,DL
2013,2,Table 1a,89.47,304.8,89.47,304.8,30135,30721,ABE,MHT,260,2.087912088,301.1057895,US,US
2013,2,Table 1a,63.83,357.19,25.53,269.19,30135,32467,ABE,MIA,1061,5.164835165,341.1282979,US,DL
2013,2,Table 1a,60,568,20,519.01,30135,32457,ABE,OAK,2490,0.54945055,573.82,US,DL
2013,2,Table 1a,54.55,594.11,40.91,430.12,30135,32575,ABE,ONT,2342,2.417582418,535.8390909,US,UA
2013,2,Table 1a,70.09,332.91,26.58,288.4,30135,30977,ABE,ORD,654,69.45054945,318.8489082,UA,US
2013,2,Table 1a,100,98.7,100,98.7,30135,33195,ABE,PIE,970,95.6043956,98.70404598,G4,G4
2013,2,Table 1a,100,324.6,100,324.6,30135,30721,ABE,PVD,222,2.197802198,324.598,US,US
2013,2,Table 1a,44.12,395.47,44.12,395.47,30135,32457,ABE,SFO,2500,14.94505495,421.0576471,UA,UA
2013,2,Table 1a,60,349.78,40,300.39,30135,32457,ABE,SJC,2483,0.54945055,330.024,DL,UA
2013,2,Table 1a,53.62,385.85,40.58,365.11,30135,32575,ABE,SNA,2367,7.582417582,376.6627536,UA,DL
2013,2,Table 1a,57.95,290.07,28.41,285.5,30135,33195,ABE,TPA,962,9.67032967,278.77125,US,DL
2013,2,Table 1a,100,379.39,100,379.39,30136,30852,ABI,BWI,1370,4.945054945,379.3871111,AA,AA
2013,2,Table 1a,98.31,314.76,98.31,314.76,30136,30852,ABI,DCA,1345,6.483516484,310.4957627,AA,AA
2013,2,Table 1a,100,130.4,100,130.4,30136,30194,ABI,DFW,158,31.86813187,130.4043448,AA,AA
2013,2,Table 1a,95.77,202.88,95.77,202.88,30136,31453,ABI,HOU,323,7.802197802,203.3349296,AA,AA
2013,2,Table 1a,86.36,303.2,86.36,303.2,30136,30852,ABI,IAD,1325,2.417582418,305.8559091,AA,AA
2013,2,Table 1a,96.59,205.43,96.59,205.43,30136,31453,ABI,IAH,307,9.67032967,207.1751136,AA,AA
2013,2,Table 1a,98.02,284.08,98.02,284.08,30136,32575,ABI,LAX,1089,11.0989011,283.4790099,AA,AA
2013,2,Table 1a,92.59,349.46,92.59,349.46,30136,32575,ABI,ONT,1043,2.967032967,363.5325926,AA,AA
2013,2,Table 1a,95.35,254.64,95.35,254.64,30136,32575,ABI,SNA,1058,4.725274725,260.5434884,AA,AA
2013,2,Table 1a,75.39,196.88,19.12,183.75,30140,30423,ABQ,AUS,619,154.0659341,194.9653138,WN,AA
2013,2,Table 1a,39.31,236.35,39.31,236.35,30140,30721,ABQ,BOS,1974,181.978022,251.9015882,AA,AA
2013,2,Table 1a,89.86,187.93,89.86,187.93,30140,32575,ABQ,BUR,672,53.07692308,191.8709317,WN,WN
2013,2,Table 1a,82.17,234.93,82.17,234.93,30140,30852,ABQ,BWI,1670,329.6703297,231.9817967,WN,WN
2013,2,Table 1a,43.08,294.43,43.08,294.43,30140,30647,ABQ,CAK,1427,7.142857143,304.9695385,WN,WN
2013,2,Table 1a,40.4,325.28,22.22,252.67,30140,30647,ABQ,CLE,1411,43.51648352,292.9867677,UA,AA
2013,2,Table 1a,99.85,183.69,99.85,183.69,30140,30194,ABQ,DAL,580,361.4285714,183.7770143,WN,WN
2013,2,Table 1a,39.76,286.23,39.76,286.23,30140,30852,ABQ,DCA,1650,136.8131868,279.1471566,AA,AA
2013,2,Table 1a,94.9,179.28,94.9,179.28,30140,30194,ABQ,DFW,569,217.5824176,180.2633485,AA,AA
2013,2,Table 1a,29.38,209.14,29.38,209.14,30140,31703,ABQ,EWR,1805,127.9120879,241.6153952,AA,AA
2013,2,Table 1a,46.15,197.45,46.15,197.45,30140,32467,ABQ,FLL,1687,111.2087912,211.1050593,WN,WN
2013,2,Table 1a,99.11,204.5,99.11,204.5,30140,31453,ABQ,HOU,759,223.2967033,204.6403986,WN,WN
2013,2,Table 1a,47.22,367.37,47.22,367.37,30140,31703,ABQ,HPN,1830,3.956043956,382.2044444,DL,DL
2013,2,Table 1a,67.67,305.25,18.76,217.06,30140,30852,ABQ,IAD,1628,175.7142857,287.8851782,UA,WN
2013,2,Table 1a,86.02,243.62,86.02,243.62,30140,31453,ABQ,IAH,744,112.4175824,243.5150831,UA,UA
2013,2,Table 1a,97.3,228.67,97.3,228.67,30140,31703,ABQ,ISP,1861,12.1978022,229.5352252,WN,WN
2013,2,Table 1a,87.75,150.85,87.75,150.85,30140,31703,ABQ,JFK,1826,178.5714286,160.6772185,B6,B6
2013,2,Table 1a,66.95,170.23,17.16,166.11,30140,32575,ABQ,LAX,677,638.4615385,170.8259157,WN,AA
2013,2,Table 1a,47.27,211.39,20.15,210.49,30140,31703,ABQ,LGA,1821,199.010989,215.1116676,AA,UA
2013,2,Table 1a,85.98,181.57,13.08,170.85,30140,32575,ABQ,LGB,664,11.75824176,179.8408411,US,DL
2013,2,Table 1a,90.62,211.47,90.62,211.47,30140,30977,ABQ,MDW,1121,190.989011,206.3347986,WN,WN
2013,2,Table 1a,92.28,263.79,92.28,263.79,30140,30721,ABQ,MHT,1955,31.31868132,266.4795088,WN,WN
2013,2,Table 1a,64.33,279.66,18.6,265.67,30140,32467,ABQ,MIA,1689,36.04395604,277.4749085,AA,DL
2013,2,Table 1a,93.49,189.78,93.49,189.78,30140,32457,ABQ,OAK,889,371.5384615,190.2215705,WN,WN
2013,2,Table 1a,81.1,217.37,81.1,217.37,30140,32575,ABQ,ONT,630,72.08791209,222.3495884,WN,WN
2013,2,Table 1a,63.06,235.74,63.06,235.74,30140,30977,ABQ,ORD,1118,163.2967033,243.650323,AA,AA
2013,2,Table 1a,44.15,272.46,23.39,237.84,30140,33667,ABQ,ORF,1702,37.58241758,286.7508187,WN,AA
2013,2,Table 1a,42.11,537.14,10.53,217.09,30140,33667,ABQ,PHF,1685,2.087912088,385.6442105,DL,F9
2013,2,Table 1a,83.01,266.13,10.26,225.05,30140,30721,ABQ,PVD,1950,34.28571429,267.8479487,WN,DL
2013,2,Table 1a,46.42,166.13,46.42,166.13,30140,32457,ABQ,SFO,896,203.8461539,187.1442156,WN,WN
2013,2,Table 1a,85.79,196.87,85.79,196.87,30140,32457,ABQ,SJC,870,98.24175824,203.5794855,WN,WN
2013,2,Table 1a,74.07,184.97,74.07,184.97,30140,32575,ABQ,SNA,650,121.6483517,189.7862692,WN,WN
2013,2,Table 1a,44.44,358.98,44.44,358.98,30140,31703,ABQ,SWF,1811,0.989010989,313.4366667,DL,DL
2013,2,Table 1a,46.98,192.76,46.98,192.76,30140,33195,ABQ,TPA,1498,114.6153846,201.4039118,WN,WN
2013,2,Table 1a,98.15,198.04,98.15,198.04,30146,30852,ABY,BWI,676,5.934065934,197.5505556,DL,DL
2013,2,Table 1a,97.4,330.23,97.4,330.23,30146,30852,ABY,DCA,646,8.461538462,330.2227273,DL,DL
2013,2,Table 1a,100,262.98,100,262.98,30146,31703,ABY,EWR,843,3.516483517,262.981875,DL,DL
2013,2,Table 1a,92.86,242.14,92.86,242.14,30146,31703,ABY,HPN,879,1.538461539,236.5821429,DL,DL
2013,2,Table 1a,100,280.89,100,280.89,30146,30852,ABY,IAD,637,2.857142857,280.8853846,DL,DL
2013,2,Table 1a,81.82,312.45,81.82,312.45,30146,31703,ABY,JFK,855,1.208791209,291.4118182,DL,DL
2013,2,Table 1a,100,203.88,100,203.88,30146,31703,ABY,LGA,858,5.274725275,203.87875,DL,DL
2013,2,Table 1a,98.3,129.62,98.3,129.62,30154,30721,ACK,BOS,91,19.34065934,129.8505682,B6,B6
2013,2,Table 1a,56,162.7,10,154.21,30154,30852,ACK,BWI,378,5.494505495,189.3044,B6,DL
2013,2,Table 1a,43.32,257.78,28.88,209.99,30154,30852,ACK,DCA,405,20.54945055,238.0486096,US,B6
2013,2,Table 1a,23.53,230.08,11.76,207,30154,31703,ACK,EWR,218,3.736263736,239.0805882,UA,B6
2013,2,Table 1a,100,245.36,100,245.36,30154,31703,ACK,HPN,191,0.10989011,245.36,9K,9K
2013,2,Table 1a,56.52,231.43,34.78,142.42,30154,30852,ACK,IAD,423,2.527472528,203.9930435,B6,UA
2013,2,Table 1a,81.79,138.9,15.02,132.22,30154,31703,ACK,JFK,199,110.4395604,141.1611343,B6,DL
2013,2,Table 1a,80.95,163.37,80.95,163.37,30154,31703,ACK,LGA,202,4.615384615,201.4204762,DL,DL
2013,2,Table 1a,43.62,212.48,37.23,176.2,30154,30977,ACK,ORD,924,10.32967033,220.7525532,UA,B6
2013,2,Table 1a,94.12,234.17,94.12,234.17,30155,30852,ACT,BWI,1269,5.604395604,237.2854902,AA,AA
2013,2,Table 1a,97.37,304.66,97.37,304.66,30155,30852,ACT,DCA,1243,8.351648352,305.3031579,AA,AA
2013,2,Table 1a,96.43,278.16,96.43,278.16,30155,30852,ACT,IAD,1223,3.076923077,284.2778571,AA,AA
2013,2,Table 1a,96.91,291.36,96.91,291.36,30155,32575,ACT,LAX,1241,10.65934066,290.7480412,AA,AA
2013,2,Table 1a,80,408.17,80,408.17,30155,32575,ACT,ONT,1195,2.747252747,520.1204,AA,AA
2013,2,Table 1a,98.28,226.75,98.28,226.75,30155,30977,ACT,ORD,881,12.74725275,230.7397414,AA,AA
2013,2,Table 1a,94.12,235.79,94.12,235.79,30155,32575,ACT,SNA,1210,3.736263736,233.0558824,AA,AA
2013,2,Table 1a,96.55,247,96.55,247,30157,32575,ACV,BUR,564,3.186813187,252.8441379,UA,UA
2013,2,Table 1a,93.13,294,93.13,294,30157,32575,ACV,LAX,577,17.58241758,295.9620625,UA,UA
2013,2,Table 1a,100,327.19,100,327.19,30157,32575,ACV,ONT,596,4.065934066,327.1881081,UA,UA
2013,2,Table 1a,99.7,266.42,99.7,266.42,30157,32457,ACV,SFO,250,36.15384615,266.0393921,UA,UA
2013,2,Table 1a,98.8,292.32,98.8,292.32,30157,32575,ACV,SNA,609,9.120879121,292.1156627,UA,UA
2013,2,Table 1a,100,78.72,100,78.72,30158,30721,ACY,BOS,274,52.41758242,78.72199161,NK,NK
2013,2,Table 1a,100,103.05,100,103.05,30158,32467,ACY,FLL,977,480.8791209,103.0505804,NK,NK
2013,2,Table 1a,100,86.29,100,86.29,30158,30977,ACY,ORD,720,67.58241758,86.28923577,NK,NK
2013,2,Table 1a,100,103.38,100,103.38,30158,33195,ACY,TPA,913,201.8681319,103.3793032,NK,NK
2013,2,Table 1a,55.45,264.29,28.71,238.07,30185,30721,AEX,BOS,1409,11.0989011,256.8217822,DL,AA
2013,2,Table 1a,0,0,0,9999,30185,32575,AEX,BUR,1512,0.21978022,303.03,,
2013,2,Table 1a,64.71,235.75,21.32,207.89,30185,30852,AEX,BWI,1046,14.94505495,230.2922794,DL,AA
2013,2,Table 1a,100,173,100,173,30185,30194,AEX,DAL,273,0.879120879,173,UA,UA
2013,2,Table 1a,43.86,312.47,25.73,225.22,30185,30852,AEX,DCA,1018,18.79120879,267.2152047,DL,UA
