Year,Quarter,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
2012,2,30140,33667,ABQ,PHF,1685,4.29,408.4,DL,76.9,412.07,DL,76.9,412.07
2012,2,30140,30721,ABQ,PVD,1950,33.41,299.64,WN,76.3,298.57,DL,10.5,270.2
2012,2,30140,32457,ABQ,SFO,896,170.33,212.83,WN,39.6,195.56,WN,39.6,195.56
2012,2,30140,32457,ABQ,SJC,870,105.93,214.15,WN,81.3,202.95,WN,81.3,202.95
2012,2,30140,32575,ABQ,SNA,650,103.19,208.66,WN,73.9,205.12,US,17.2,204.33
2012,2,30140,31703,ABQ,SWF,1811,2.86,449.67,DL,84.6,440.57,DL,84.6,440.57
2012,2,30140,33195,ABQ,TPA,1498,105.38,233.64,WN,51.2,226.89,WN,51.2,226.89
2012,2,30146,30852,ABY,BWI,676,5.27,284.21,DL,100,284.21,DL,100,284.21
2012,2,30146,30852,ABY,DCA,646,12.64,309.84,DL,95.7,308.17,DL,95.7,308.17
2012,2,30146,31703,ABY,EWR,843,3.41,263.34,DL,100,263.34,DL,100,263.34
2012,2,30146,31703,ABY,HPN,879,1.87,224.19,DL,100,224.19,DL,100,224.19
2012,2,30146,30852,ABY,IAD,637,1.87,270,DL,100,270,DL,100,270
2012,2,30146,31703,ABY,ISP,889,0.44,766.78,,0,0,,0,9999
2012,2,30146,31703,ABY,JFK,855,0.33,335.65,DL,100,335.65,DL,100,335.65
2012,2,30146,31703,ABY,LGA,858,6.04,252.37,DL,98.2,253.4,DL,98.2,253.4
2012,2,30154,30721,ACK,BOS,91,22.86,98.31,B6,98.6,98.21,B6,98.6,98.21
2012,2,30154,30852,ACK,BWI,378,3.19,163.69,B6,31,126.78,UA,10.3,109.98
2012,2,30154,30852,ACK,DCA,405,16.15,273.08,US,39.5,315.86,B6,23.8,192.66
2012,2,30154,31703,ACK,EWR,218,4.62,217.28,UA,31,137.64,UA,31,137.64
2012,2,30154,30852,ACK,IAD,423,1.76,296.82,B6,50,250.57,B6,50,250.57
