Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2001,1,Table 1a,75.00,148.62,25.00,74.47,02200,23210,ABE,DAL,1300,0.8888888889,130.0825,CO,DL
2001,1,Table 1a,96.47,304.11,96.47,304.11,02200,96460,ABE,DCA,151,9.4444444444,298.33152941,US,US
2001,1,Table 1a,42.13,337.45,42.13,337.45,02200,23210,ABE,DFW,1308,41.666666667,354.58618667,US,US
2001,1,Table 1a,100.00,174.52,100.00,174.52,02200,37320,ABE,EFD,1347,0.2222222222,174.52,CO,CO
2001,1,Table 1a,70.00,358.30,20.00,129.26,02200,37320,ABE,HOU,1351,2.2222222222,322.152,DL,NW
2001,1,Table 1a,57.14,101.42,57.14,101.42,02200,96460,ABE,IAD,160,0.7777777778,153.80857143,UA,UA
2001,1,Table 1a,47.13,355.01,47.13,355.01,02200,37320,ABE,IAH,1339,19.333333333,428.16224138,US,US
2001,1,Table 1a,70.83,243.35,70.83,243.35,02200,18500,ABE,MDW,646,2.6666666667,282.95833333,NW,NW
2001,1,Table 1a,83.43,351.38,83.43,351.38,02200,18500,ABE,ORD,654,91.222222222,349.75505481,UA,UA
2001,1,Table 1a,61.03,150.37,61.03,150.37,02200,87870,ABE,TPA,963,55.888888889,162.23308151,US,US
2001,1,Table 1a,100.00,198.04,100.00,198.04,00300,23210,ABI,DFW,158,20.444444444,198.03581522,AA,AA
2001,1,Table 1a,100.00,203.50,100.00,203.50,00300,37320,ABI,EFD,331,0.4444444444,203.495,CO,CO
2001,1,Table 1a,63.16,215.83,31.58,150.00,00300,37320,ABI,HOU,323,2.1111111111,188.36842105,AA,CO
2001,1,Table 1a,95.41,169.65,95.41,169.65,00300,37320,ABI,IAH,307,24.222222222,175.36174312,CO,CO
2001,1,Table 1a,99.58,112.87,99.58,112.87,01680,23210,ABQ,DAL,580,606.44444444,112.87634848,WN,WN
2001,1,Table 1a,45.57,191.94,45.57,191.94,01680,96460,ABQ,DCA,1650,201.88888889,219.8052284,TW,TW
2001,1,Table 1a,70.84,131.95,26.70,117.91,01680,23210,ABQ,DFW,569,270.88888889,129.85401559,AA,DL
2001,1,Table 1a,100.00,151.88,100.00,151.88,01680,37320,ABQ,EFD,767,2.4444444444,151.875,CO,CO
2001,1,Table 1a,31.67,198.03,31.67,198.03,01680,63760,ABQ,EWR,1805,118.22222222,269.16759398,TW,TW
2001,1,Table 1a,96.97,148.53,96.97,148.53,01680,37320,ABQ,HOU,759,183.55555556,148.15441889,WN,WN
2001,1,Table 1a,65.35,224.19,11.95,223.47,01680,96460,ABQ,IAD,1628,93,233.43894863,UA,AA
2001,1,Table 1a,89.49,160.26,89.49,160.26,01680,37320,ABQ,IAH,744,212.44444444,159.81001569,CO,CO
2001,1,Table 1a,50.63,193.87,50.63,193.87,01680,63760,ABQ,JFK,1825,17.777777778,251.238125,TW,TW
2001,1,Table 1a,27.33,225.86,27.33,225.86,01680,63760,ABQ,LGA,1821,119.11111111,272.94719216,TW,TW
2001,1,Table 1a,92.26,176.30,92.26,176.30,01680,18500,ABQ,MDW,1121,73.222222222,177.60453718,WN,WN
2001,1,Table 1a,51.54,178.45,27.54,164.64,01680,18500,ABQ,ORD,1118,191.66666667,175.98118261,AA,UA
2001,1,Table 1a,56.08,144.04,56.08,144.04,01680,87870,ABQ,TPA,1497,120.66666667,156.4247698,WN,WN
2001,1,Table 1a,98.72,339.71,98.72,339.71,01540,96460,ABY,DCA,647,8.6666666667,337.03910256,DL,DL
2001,1,Table 1a,96.15,214.88,96.15,214.88,01540,63760,ABY,EWR,844,5.7777777778,216.64403846,DL,DL
2001,1,Table 1a,100.00,175.95,100.00,175.95,01540,96460,ABY,IAD,637,5.2222222222,175.94765957,DL,DL
2001,1,Table 1a,100.00,744.01,100.00,744.01,01540,63760,ABY,JFK,856,0.1111111111,744.01,DL,DL
2001,1,Table 1a,97.62,260.63,97.62,260.63,01540,63760,ABY,LGA,859,4.6666666667,259.79642857,DL,DL
2001,1,Table 1a,0.00,0.00,0.00,9999.00,62400,63760,ACK,EWR,218,0.6666666667,284.16,,
2001,1,Table 1a,97.00,183.88,97.00,183.88,62400,63760,ACK,LGA,202,11.111111111,183.894,US,US
2001,1,Table 1a,88.98,230.83,88.98,230.83,95810,96460,ACT,DCA,1243,14.111111111,239.65574803,AA,AA
2001,1,Table 1a,69.57,724.01,21.74,245.22,95810,96460,ACT,IAD,1223,2.5555555556,590.32,AA,CO
2001,1,Table 1a,99.38,110.19,99.38,110.19,05870,87870,ACY,TPA,914,213.88888889,110.95734545,NK,NK
2001,1,Table 1a,46.88,180.39,46.88,180.39,01910,96460,AEX,DCA,1018,17.777777778,245.265875,NW,NW
2001,1,Table 1a,98.15,198.43,98.15,198.43,01910,23210,AEX,DFW,285,24,200.46518519,DL,DL
2001,1,Table 1a,100.00,326.00,100.00,326.00,01910,37320,AEX,EFD,196,0.4444444444,326,CO,CO
2001,1,Table 1a,58.97,278.64,10.26,240.75,01910,63760,AEX,EWR,1211,4.3333333333,319.43666667,CO,DL
2001,1,Table 1a,100.00,374.01,100.00,374.01,01910,37320,AEX,HOU,200,0.1111111111,374.01,CO,CO
2001,1,Table 1a,52.38,294.02,16.67,204.04,01910,96460,AEX,IAD,1001,4.6666666667,269.26857143,CO,NW
2001,1,Table 1a,97.70,244.67,97.70,244.67,01910,37320,AEX,IAH,190,9.6666666667,241.65574713,CO,CO
2001,1,Table 1a,75.00,127.54,75.00,127.54,01910,63760,AEX,JFK,1228,0.4444444444,227.6525,CO,CO
2001,1,Table 1a,53.01,146.91,53.01,146.91,01910,63760,AEX,LGA,1228,9.2222222222,204.97349398,NW,NW
2001,1,Table 1a,59.00,187.30,59.00,187.30,01910,18500,AEX,ORD,778,11.111111111,249.0869,NW,NW
2001,1,Table 1a,100.00,118.61,100.00,118.61,05980,23210,AGS,DAL,863,2.1111111111,118.61210526,DL,DL
2001,1,Table 1a,51.55,247.94,44.96,196.27,05980,96460,AGS,DCA,468,28.666666667,225.94996124,DL,US
2001,1,Table 1a,90.78,234.71,90.78,234.71,05980,23210,AGS,DFW,874,22.888888889,233.95995146,DL,DL
2001,1,Table 1a,65.18,205.27,65.18,205.27,05980,63760,AGS,EWR,663,27.444444444,207.58453441,DL,DL
2001,1,Table 1a,95.45,159.58,95.45,159.58,05980,37320,AGS,HOU,826,7.3333333333,157.30287879,DL,DL
2001,1,Table 1a,67.16,204.08,67.16,204.08,05980,96460,AGS,IAD,459,14.888888889,205.76850746,DL,DL
2001,1,Table 1a,93.04,273.68,93.04,273.68,05980,37320,AGS,IAH,821,12.777777778,271.63208696,DL,DL
2001,1,Table 1a,100.00,153.31,100.00,153.31,05980,63760,AGS,JFK,675,1.8888888889,153.30823529,DL,DL
2001,1,Table 1a,70.45,219.43,70.45,219.43,05980,63760,AGS,LGA,678,19.555555556,239.88278409,DL,DL
