Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2008,3,Table 1a,100.00,362.38,100.00,362.38,02200,96460,ABE,DCA,151,0.8695652174,362.38,US,US
2008,3,Table 1a,55.38,259.51,55.38,259.51,02200,23210,ABE,DFW,1308,28.260869565,278.97338462,US,US
2008,3,Table 1a,100.00,249.68,100.00,249.68,02200,37320,ABE,HOU,1351,0.652173913,249.67833333,DL,DL
2008,3,Table 1a,100.00,289.48,100.00,289.48,02200,96460,ABE,IAD,160,10.543478261,289.48340206,UA,UA
2008,3,Table 1a,59.31,270.39,59.31,270.39,02200,37320,ABE,IAH,1339,22.173913043,278.01627451,US,US
2008,3,Table 1a,54.55,326.58,36.36,206.21,02200,18500,ABE,MDW,646,1.1956521739,266.98727273,NW,DL
2008,3,Table 1a,91.76,249.73,91.76,249.73,02200,18500,ABE,ORD,654,135.86956522,249.677128,UA,UA
2008,3,Table 1a,100.00,116.21,100.00,116.21,02200,87870,ABE,PIE,971,68.913043478,116.21358044,G4,G4
2008,3,Table 1a,76.95,169.34,76.95,169.34,02200,87870,ABE,TPA,963,36.304347826,175.04281437,US,US
2008,3,Table 1a,100.00,132.42,100.00,132.42,00300,23210,ABI,DFW,158,25.434782609,132.4158547,AA,AA
2008,3,Table 1a,83.33,221.74,83.33,221.74,00300,63760,ABI,EWR,1523,2.6086956522,234.00208333,AA,AA
2008,3,Table 1a,50.00,273.54,50.00,273.54,00300,63760,ABI,JFK,1542,0.652173913,299.92833333,CO,CO
2008,3,Table 1a,74.24,246.28,21.21,223.34,00300,63760,ABI,LGA,1539,7.1739130435,240.58969697,AA,CO
2008,3,Table 1a,88.11,258.35,88.11,258.35,00300,18500,ABI,ORD,924,15.543478261,267.57699301,AA,AA
2008,3,Table 1a,99.89,153.01,99.89,153.01,01680,23210,ABQ,DAL,580,598.69565217,153.00873094,WN,WN
2008,3,Table 1a,54.90,320.05,12.04,202.00,01680,96460,ABQ,DCA,1650,174.23913043,315.08538366,AA,NW
2008,3,Table 1a,97.81,162.81,97.81,162.81,01680,23210,ABQ,DFW,569,278.15217391,162.92074248,AA,AA
2008,3,Table 1a,61.02,285.73,15.85,273.08,01680,63760,ABQ,EWR,1805,170.10869565,287.55844728,CO,AA
2008,3,Table 1a,98.86,174.60,98.86,174.60,01680,37320,ABQ,HOU,759,247.2826087,174.79101538,WN,WN
2008,3,Table 1a,66.65,357.13,14.66,246.73,01680,96460,ABQ,IAD,1628,169.7826087,327.61164533,UA,WN
2008,3,Table 1a,91.37,201.03,91.37,201.03,01680,37320,ABQ,IAH,744,148.69565217,200.75315058,CO,CO
2008,3,Table 1a,32.22,207.88,32.22,207.88,01680,63760,ABQ,JFK,1825,45.543478261,235.36164678,DL,DL
2008,3,Table 1a,41.98,221.58,13.93,183.01,01680,63760,ABQ,LGA,1821,308.15217391,209.6773933,AA,CO
2008,3,Table 1a,88.91,205.37,88.91,205.37,01680,18500,ABQ,MDW,1121,176.41304348,199.38990142,WN,WN
2008,3,Table 1a,71.40,173.69,71.40,173.69,01680,18500,ABQ,ORD,1118,292.2826087,189.35686129,AA,AA
2008,3,Table 1a,52.48,171.24,19.67,160.81,01680,87870,ABQ,TPA,1497,144.7826087,171.73995495,WN,AA
2008,3,Table 1a,99.22,292.04,99.22,292.04,01540,96460,ABY,DCA,647,14.02173913,291.21395349,DL,DL
2008,3,Table 1a,98.36,243.18,98.36,243.18,01540,63760,ABY,EWR,844,6.6304347826,241.45983607,DL,DL
2008,3,Table 1a,100.00,248.34,100.00,248.34,01540,96460,ABY,IAD,637,4.1304347826,248.33947368,DL,DL
2008,3,Table 1a,92.31,291.36,92.31,291.36,01540,63760,ABY,JFK,856,1.4130434783,278.38615385,DL,DL
2008,3,Table 1a,96.88,231.13,96.88,231.13,01540,63760,ABY,LGA,859,6.9565217391,230.62625,DL,DL
2008,3,Table 1a,77.32,329.07,10.88,166.19,62400,96460,ACK,DCA,405,47.934782609,298.32290249,US,CO
2008,3,Table 1a,62.96,136.98,62.96,136.98,62400,63760,ACK,EWR,218,2.9347826087,169.59074074,CO,CO
2008,3,Table 1a,70.11,197.92,24.14,191.02,62400,96460,ACK,IAD,423,9.4565217391,202.26954023,B6,DL
2008,3,Table 1a,65.00,161.51,34.87,132.33,62400,63760,ACK,JFK,199,165.2173913,151.43498026,B6,DL
2008,3,Table 1a,97.84,246.75,97.84,246.75,62400,63760,ACK,LGA,202,85.434782609,247.72195929,US,US
2008,3,Table 1a,47.62,479.88,33.33,356.51,27760,96460,ACV,DCA,2475,2.2826086957,508.77571429,DL,UA
2008,3,Table 1a,43.06,330.08,41.67,262.60,27760,63760,ACV,EWR,2580,7.8260869565,302.43944444,UA,DL
2008,3,Table 1a,79.52,316.85,79.52,316.85,27760,96460,ACV,IAD,2451,9.0217391304,351.62831325,UA,UA
2008,3,Table 1a,55.74,239.25,55.74,239.25,27760,63760,ACV,JFK,2601,6.6304347826,319.58639344,DL,DL
2008,3,Table 1a,53.85,277.20,53.85,277.20,27760,63760,ACV,LGA,2593,1.4130434783,311.13,UA,UA
2008,3,Table 1a,100.00,97.26,100.00,97.26,05870,87870,ACY,TPA,914,216.08695652,97.255135815,NK,NK
2008,3,Table 1a,44.55,324.53,25.45,294.74,01910,96460,AEX,DCA,1018,11.956521739,345.14627273,DL,NW
2008,3,Table 1a,96.52,253.04,96.52,253.04,01910,23210,AEX,DFW,285,21.847826087,258.80825871,AA,AA
2008,3,Table 1a,40.82,220.89,40.82,220.89,01910,63760,AEX,EWR,1211,10.652173913,286.33122449,NW,NW
2008,3,Table 1a,78.57,445.79,10.71,298.00,01910,96460,AEX,IAD,1001,3.0434782609,458.77678571,DL,AA
2008,3,Table 1a,53.85,307.72,46.15,233.66,01910,63760,AEX,JFK,1228,1.4130434783,273.53461538,DL,CO
2008,3,Table 1a,41.79,373.38,22.39,347.81,01910,63760,AEX,LGA,1228,7.2826086957,408.35865672,DL,NW
2008,3,Table 1a,100.00,363.78,100.00,363.78,01910,18500,AEX,MDW,769,1.6304347826,363.776,DL,DL
2008,3,Table 1a,37.18,320.35,37.18,320.35,01910,18500,AEX,ORD,778,8.4782608696,332.14205128,CO,CO
2008,3,Table 1a,31.58,182.91,10.53,161.90,01910,87870,AEX,TPA,645,10.326086957,207.37694737,CO,NW
2008,3,Table 1a,100.00,337.99,100.00,337.99,05980,23210,AGS,DAL,863,0.1086956522,337.99,DL,DL
2008,3,Table 1a,56.61,247.74,42.15,245.11,05980,96460,AGS,DCA,468,26.304347826,246.70190083,US,DL
2008,3,Table 1a,60.08,211.46,60.08,211.46,05980,23210,AGS,DFW,874,26.413043478,230.17119342,DL,DL
2008,3,Table 1a,48.86,210.10,48.86,210.10,05980,63760,AGS,EWR,663,19.130434783,212.20892045,DL,DL
2008,3,Table 1a,97.40,207.26,97.40,207.26,05980,37320,AGS,HOU,826,8.3695652174,206.8487013,DL,DL
2008,3,Table 1a,76.36,268.03,19.09,245.45,05980,96460,AGS,IAD,459,11.956521739,270.48981818,US,DL
2008,3,Table 1a,68.47,220.92,68.47,220.92,05980,37320,AGS,IAH,821,12.065217391,236.94369369,DL,DL
2008,3,Table 1a,56.67,239.08,40.00,204.71,05980,63760,AGS,JFK,675,6.5217391304,229.54866667,DL,US
2008,3,Table 1a,57.41,194.31,57.41,194.31,05980,63760,AGS,LGA,678,28.586956522,208.87486692,DL,DL
2008,3,Table 1a,98.25,208.13,98.25,208.13,05980,18500,AGS,MDW,661,6.1956521739,208.89298246,DL,DL
2008,3,Table 1a,39.75,227.32,15.48,189.97,05980,18500,AGS,ORD,677,25.97826087,230.94414226,US,UA
2008,3,Table 1a,67.20,225.80,67.20,225.80,05980,87870,AGS,TPA,373,13.586956522,241.7704,DL,DL
2008,3,Table 1a,91.94,275.71,91.94,275.71,01580,23210,ALB,DAL,1427,13.47826087,271.63370968,WN,WN
2008,3,Table 1a,96.56,295.45,96.56,295.45,01580,96460,ALB,DCA,318,94.891304348,293.5654181,US,US
2008,3,Table 1a,29.46,252.34,20.95,206.10,01580,23210,ALB,DFW,1435,118.80434783,248.21062214,US,DL
2008,3,Table 1a,100.00,275.09,100.00,275.09,01580,63760,ALB,EWR,143,5.7608695652,275.09037736,CO,CO
2008,3,Table 1a,95.23,241.25,95.23,241.25,01580,37320,ALB,HOU,1495,40.97826087,241.09827586,WN,WN
2008,3,Table 1a,62.79,262.49,62.79,262.49,01580,96460,ALB,IAD,325,4.6739130435,279.58372093,UA,UA
2008,3,Table 1a,48.59,319.04,25.87,262.59,01580,37320,ALB,IAH,1482,65.543478261,295.80870647,CO,US
2008,3,Table 1a,100.00,213.06,100.00,213.06,01580,63760,ALB,JFK,145,15.217391304,213.05621429,DL,DL
2008,3,Table 1a,98.18,245.68,98.18,245.68,01580,63760,ALB,LGA,136,5.9782608696,243.88418182,US,US
2008,3,Table 1a,97.29,191.15,97.29,191.15,01580,18500,ALB,MDW,717,136.52173913,192.07430732,WN,WN
2008,3,Table 1a,78.56,207.99,78.56,207.99,01580,18500,ALB,ORD,723,268.69565217,210.22635518,UA,UA
2008,3,Table 1a,69.83,152.61,69.83,152.61,01580,87870,ALB,TPA,1130,286.73913043,155.49110311,WN,WN
2008,3,Table 1a,99.57,106.39,99.57,106.39,02780,23210,AMA,DAL,324,485.54347826,106.38985225,WN,WN
2008,3,Table 1a,83.49,393.83,83.49,393.83,02780,96460,AMA,DCA,1383,11.847826087,374.97724771,AA,AA
2008,3,Table 1a,96.91,110.39,96.91,110.39,02780,23210,AMA,DFW,313,130,110.30747492,AA,AA
2008,3,Table 1a,56.25,335.45,56.25,335.45,02780,63760,AMA,EWR,1544,8.6956521739,345.281,AA,AA
2008,3,Table 1a,97.34,162.30,97.34,162.30,02780,37320,AMA,HOU,538,126.84782609,162.21141388,WN,WN
2008,3,Table 1a,90.48,359.18,90.48,359.18,02780,96460,AMA,IAD,1361,4.5652173913,352.635,AA,AA
2008,3,Table 1a,63.64,148.26,63.64,148.26,02780,37320,AMA,IAH,519,7.1739130435,162.16954545,AA,AA
2008,3,Table 1a,59.09,387.29,36.36,255.62,02780,63760,AMA,JFK,1564,2.3913043478,337.23363636,CO,AA
2008,3,Table 1a,67.63,310.39,67.63,310.39,02780,63760,AMA,LGA,1560,18.804347826,306.79583815,AA,AA
2008,3,Table 1a,99.09,246.21,99.09,246.21,02780,18500,AMA,MDW,880,11.956521739,246.14890909,WN,WN
