Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2008,2,Table 1a,100.00,211.47,100.00,211.47,02200,23210,ABE,DAL,1300,0.2197802198,211.47,CO,CO
2008,2,Table 1a,100.00,278.30,100.00,278.30,02200,96460,ABE,DCA,151,1.0989010989,278.299,US,US
2008,2,Table 1a,37.35,314.39,23.29,251.42,02200,23210,ABE,DFW,1308,27.362637363,286.86060241,US,DL
2008,2,Table 1a,100.00,151.63,100.00,151.63,02200,37320,ABE,HOU,1351,0.5494505495,151.626,DL,DL
2008,2,Table 1a,100.00,255.60,100.00,255.60,02200,96460,ABE,IAD,160,12.087912088,255.59790909,UA,UA
2008,2,Table 1a,53.33,273.67,53.33,273.67,02200,37320,ABE,IAH,1339,23.076923077,271.30985714,US,US
2008,2,Table 1a,94.44,304.53,94.44,304.53,02200,18500,ABE,MDW,646,1.978021978,293.92111111,NW,NW
2008,2,Table 1a,92.41,241.15,92.41,241.15,02200,18500,ABE,ORD,654,136.04395604,242.62056543,UA,UA
2008,2,Table 1a,100.00,111.47,100.00,111.47,02200,87870,ABE,PIE,971,94.945054945,111.46581019,G4,G4
2008,2,Table 1a,74.28,177.27,17.63,172.64,02200,87870,ABE,TPA,963,38.021978022,177.91465318,US,DL
2008,2,Table 1a,93.10,281.15,93.10,281.15,00300,96460,ABI,DCA,1345,9.5604395604,278.49022989,AA,AA
2008,2,Table 1a,100.00,110.01,100.00,110.01,00300,23210,ABI,DFW,158,29.56043956,110.01118959,AA,AA
2008,2,Table 1a,55.88,278.55,55.88,278.55,00300,63760,ABI,EWR,1523,3.7362637363,306.00705882,AA,AA
2008,2,Table 1a,97.22,175.29,97.22,175.29,00300,37320,ABI,HOU,323,3.956043956,172.50083333,AA,AA
2008,2,Table 1a,84.62,273.05,84.62,273.05,00300,96460,ABI,IAD,1325,2.8571428571,326.45153846,AA,AA
2008,2,Table 1a,60.00,192.99,28.57,129.75,00300,37320,ABI,IAH,307,7.6923076923,167.38342857,AA,CO
2008,2,Table 1a,44.44,502.73,44.44,261.01,00300,63760,ABI,JFK,1542,0.989010989,361.76222222,AA,CO
