tbl,Date,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 1a,200204,2200,23210,ABE,DAL,1300,0.32,326.66,DL,66.66,91,DL,66.66,91
Table 1a,200204,2200,23210,ABE,DFW,1308,27.28,270.49,DL,40.63,262.3,US,29.48,256.54
Table 1a,200204,2200,37320,ABE,EFD,1347,0.21,190.5,CO,50,192,CO,50,192
Table 1a,200204,2200,37320,ABE,HOU,1351,2.71,179.36,DL,92,180.39,DL,92,180.39
Table 1a,200204,2200,37320,ABE,IAH,1339,19.67,316.41,US,39.77,271.3,NW,14.36,267.03
Table 1a,200204,2200,18500,ABE,MDW,646,2.6,242.95,CO,33.33,261.25,DL,25,93.33
Table 1a,200204,2200,18500,ABE,ORD,654,56.08,220.66,UA,69.37,221.48,UA,69.37,221.48
Table 1a,200204,2200,87870,ABE,TPA,963,71.73,133.1,DL,56.66,129.47,DL,56.66,129.47
Table 1a,200204,300,23210,ABI,DFW,158,28.8,101.15,AA,99.62,101.03,AA,99.62,101.03
Table 1a,200204,300,37320,ABI,HOU,323,3.8,165.45,AA,97.14,168.29,AA,97.14,168.29
Table 1a,200204,300,37320,ABI,IAH,307,8.8,123.03,AA,100,123.03,AA,100,123.03
Table 1a,200204,1680,23210,ABQ,DAL,580,606.73,117.21,WN,99.53,117.2,WN,99.53,117.2
Table 1a,200204,1680,96460,ABQ,DCA,1650,195,227.43,AA,54.23,215.05,AA,54.23,215.05
Table 1a,200204,1680,23210,ABQ,DFW,569,233.04,128.15,AA,77.33,129.23,DL,19.86,119.49
Table 1a,200204,1680,37320,ABQ,EFD,767,2.06,148.63,CO,100,148.63,CO,100,148.63
Table 1a,200204,1680,63760,ABQ,EWR,1805,128.91,254.94,CO,27.23,281.66,DL,13.99,230.49
Table 1a,200204,1680,37320,ABQ,HOU,759,180.1,151.51,WN,98.18,151.62,WN,98.18,151.62
Table 1a,200204,1680,96460,ABQ,IAD,1628,106.84,228.83,UA,40.99,247.83,AA,32.65,207.34
Table 1a,200204,1680,37320,ABQ,IAH,744,190.76,157.19,CO,87.63,157.4,AA,2.1,148.45
Table 1a,200204,1680,63760,ABQ,JFK,1825,33.36,228.65,HP,30.29,241.21,NW,13.68,196.61
Table 1a,200204,1680,63760,ABQ,LGA,1821,182.17,218.36,AA,37.05,230.99,DL,23.5,214.79
Table 1a,200204,1680,18500,ABQ,MDW,1121,137.28,163.66,WN,90.02,163.22,DL,1.58,181.55
Table 1a,200204,1680,18500,ABQ,ORD,1118,227.5,174.9,AA,73.19,174.2,AA,73.19,174.2
Table 1a,200204,1680,87870,ABQ,TPA,1497,127.28,161.4,WN,56.02,155.97,WN,56.02,155.97
Table 1a,200204,1540,96460,ABY,DCA,647,6.41,392.16,DL,100,392.16,DL,100,392.16
Table 1a,200204,1540,63760,ABY,EWR,844,9.78,196.37,DL,97.77,193.02,DL,97.77,193.02
Table 1a,200204,1540,96460,ABY,IAD,637,6.08,215.58,DL,98.21,215.89,DL,98.21,215.89
Table 1a,200204,1540,63760,ABY,JFK,856,0.21,112,DL,100,112,DL,100,112
Table 1a,200204,1540,63760,ABY,LGA,859,7.71,162.08,DL,97.18,163.37,DL,97.18,163.37
Table 1a,200204,95810,96460,ACT,DCA,1243,11.52,294.25,AA,96.22,299.51,AA,96.22,299.51
Table 1a,200204,95810,96460,ACT,IAD,1223,4.56,332.28,AA,97.61,336.78,AA,97.61,336.78
Table 1a,200204,5870,87870,ACY,TPA,914,208.36,122.38,NK,95.77,122.4,DL,3.7,123.45
Table 1a,200204,1910,23210,AEX,DAL,273,0.54,157.4,CO,40,178,CO,40,178
Table 1a,200204,1910,96460,AEX,DCA,1019,10,232.98,NW,54.34,242.98,CO,35.86,227.48
Table 1a,200204,1910,23210,AEX,DFW,285,17.6,178.01,DL,91.97,178.36,CO,6.79,177.63
Table 1a,200204,1910,37320,AEX,EFD,196,0.21,281,CO,100,281,CO,100,281
Table 1a,200204,1910,63760,AEX,EWR,1212,6.95,270.21,CO,57.81,295.37,NW,21.87,213.71
Table 1a,200204,1910,96460,AEX,IAD,1001,4.02,182.05,CO,67.56,189.72,DL,21.62,158.25
Table 1a,200204,1910,37320,AEX,IAH,190,13.47,213.68,CO,98.38,216.18,CO,98.38,216.18
Table 1a,200204,1910,63760,AEX,JFK,1228,1.52,247.35,NW,35.71,131,NW,35.71,131
Table 1a,200204,1910,63760,AEX,LGA,1228,10.76,219.79,NW,63.63,208.76,NW,63.63,208.76
Table 1a,200204,1910,18500,AEX,MDW,769,0.97,250,DL,100,250,DL,100,250
Table 1a,200204,1910,18500,AEX,ORD,778,10.21,203.51,NW,48.93,171.82,NW,48.93,171.82
Table 1a,200204,5980,23210,AGS,DAL,863,2.71,135.48,DL,100,135.48,DL,100,135.48
Table 1a,200204,5980,96460,AGS,DCA,468,24.89,204.51,DL,72.05,207.02,US,26.63,198.77
Table 1a,200204,5980,23210,AGS,DFW,874,24.78,192.62,DL,89.47,194.51,DL,89.47,194.51
Table 1a,200204,5980,63760,AGS,EWR,663,20.97,221.31,DL,74.09,229.74,US,24.35,202.1
Table 1a,200204,5980,37320,AGS,HOU,826,7.82,154.56,DL,90.27,141.47,DL,90.27,141.47
Table 1a,200204,5980,96460,AGS,IAD,459,11.3,228.75,DL,55.76,249.56,US,42.3,204.06
Table 1a,200204,5980,37320,AGS,IAH,821,10.21,206.3,DL,92.55,206.14,DL,92.55,206.14
Table 1a,200204,5980,63760,AGS,JFK,675,2.5,189.78,DL,95.65,193.13,DL,95.65,193.13
Table 1a,200204,5980,63760,AGS,LGA,678,27.5,181.45,DL,71.93,185.68,US,25.69,166.2
Table 1a,200204,5980,18500,AGS,MDW,661,3.8,170.25,DL,100,170.25,DL,100,170.25
Table 1a,200204,5980,18500,AGS,ORD,677,23.58,251.35,DL,78.8,262.13,US,20.73,207.8
Table 1a,200204,5980,87870,AGS,TPA,373,15.1,176.53,DL,87.05,179.56,US,10.79,146.33
Table 1a,200204,1580,23210,ALB,DAL,1427,1.52,174.57,DL,50,145.85,DL,50,145.85
