Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2013,1,Table 1a,66.67,230.38,66.67,230.38,30135,32575,ABE,BUR,2378,0.333333333,339.2933333,UA,UA
2013,1,Table 1a,100,305.16,100,305.16,30135,30194,ABE,DAL,1300,0.666666667,305.16,DL,DL
2013,1,Table 1a,42.77,369.8,32.08,286.01,30135,30194,ABE,DFW,1307,17.66666667,338.2224528,US,DL
2013,1,Table 1a,65.67,278,10.45,211.07,30135,32467,ABE,FLL,1041,14.88888889,267.3055224,US,UA
2013,1,Table 1a,94.44,325.92,94.44,325.92,30135,31453,ABE,HOU,1350,2,332.5527778,DL,DL
2013,1,Table 1a,41.27,415.67,30.16,302.72,30135,31453,ABE,IAH,1339,14,361.1215873,US,DL
2013,1,Table 1a,51.09,304.87,51.09,304.87,30135,32575,ABE,LAX,2388,15.22222222,373.0534307,UA,UA
2013,1,Table 1a,100,281.05,100,281.05,30135,32575,ABE,LGB,2378,0.111111111,281.05,US,US
2013,1,Table 1a,100,396.44,100,396.44,30135,30977,ABE,MDW,646,0.555555556,396.44,DL,DL
2013,1,Table 1a,65.75,379.47,24.66,336.65,30135,32467,ABE,MIA,1061,8.111111111,380.2172603,US,DL
2013,1,Table 1a,66.67,385.18,66.67,385.18,30135,32457,ABE,OAK,2490,0.666666667,454.9716667,DL,DL
2013,1,Table 1a,47.06,652.22,35.29,450.98,30135,32575,ABE,ONT,2342,1.888888889,538.8347059,US,UA
2013,1,Table 1a,75.56,348.23,21.88,284.66,30135,30977,ABE,ORD,654,69.55555556,334.3323802,UA,US
2013,1,Table 1a,99.36,116.56,99.36,116.56,30135,33195,ABE,PIE,970,86.33333333,116.9662806,G4,G4
2013,1,Table 1a,63.41,402.87,63.41,402.87,30135,32457,ABE,SFO,2500,13.66666667,408.2798374,UA,UA
2013,1,Table 1a,50,240.88,50,240.88,30135,32457,ABE,SJC,2483,1.777777778,363.745,UA,UA
2013,1,Table 1a,75.47,304.37,75.47,304.37,30135,32575,ABE,SNA,2367,5.888888889,327.8866038,UA,UA
2013,1,Table 1a,54.78,300.25,29.57,209.06,30135,33195,ABE,TPA,962,12.77777778,266.372,US,DL
2013,1,Table 1a,100,140.37,100,140.37,30136,30194,ABI,DFW,158,24.11111111,140.371106,AA,AA
2013,1,Table 1a,100,224.31,100,224.31,30136,31453,ABI,HOU,323,6.444444444,224.3086207,AA,AA
2013,1,Table 1a,98.72,216.7,98.72,216.7,30136,31453,ABI,IAH,307,8.666666667,218.319359,AA,AA
2013,1,Table 1a,95.08,314.8,95.08,314.8,30136,32575,ABI,LAX,1089,6.777777778,314.7863934,AA,AA
2013,1,Table 1a,100,305.87,100,305.87,30136,32575,ABI,ONT,1043,2.444444444,305.8663636,AA,AA
2013,1,Table 1a,100,277.94,100,277.94,30136,32575,ABI,SNA,1058,3.111111111,277.9410714,AA,AA
2013,1,Table 1a,70.74,204.24,23.8,167.27,30140,30423,ABQ,AUS,619,154.5555556,195.6330122,WN,AA
2013,1,Table 1a,44.3,281.6,23.47,276.89,30140,30721,ABQ,BOS,1974,117.8888889,292.0140999,AA,WN
2013,1,Table 1a,89.46,184.78,89.46,184.78,30140,32575,ABQ,BUR,672,49.55555556,185.2804709,WN,WN
2013,1,Table 1a,71.82,269.58,16.56,193.5,30140,30852,ABQ,BWI,1670,209.3333333,253.0545648,WN,AA
2013,1,Table 1a,58.54,334.88,29.27,313.72,30140,30647,ABQ,CAK,1427,4.555555556,325.55,WN,DL
2013,1,Table 1a,36.72,350.51,21.88,287.44,30140,30647,ABQ,CLE,1411,28.44444444,310.3019922,UA,AA
2013,1,Table 1a,99.74,171.48,99.74,171.48,30140,30194,ABQ,DAL,580,343.5555556,171.5192982,WN,WN
2013,1,Table 1a,45.9,316.88,23.61,308.96,30140,30852,ABQ,DCA,1650,101.6666667,314.2682623,AA,UA
2013,1,Table 1a,96.99,166.73,96.99,166.73,30140,30194,ABQ,DFW,569,195.8888889,167.5597674,AA,AA
2013,1,Table 1a,38.14,328.93,23.73,248.54,30140,31703,ABQ,EWR,1805,65.55555556,286.5665932,UA,WN
2013,1,Table 1a,50.6,241.99,28.8,222.1,30140,32467,ABQ,FLL,1687,92.22222222,236.4540482,WN,AA
2013,1,Table 1a,98.13,203.01,98.13,203.01,30140,31453,ABQ,HOU,759,226.2222222,203.6338753,WN,WN
2013,1,Table 1a,42.11,429.27,26.32,364.64,30140,31703,ABQ,HPN,1830,2.111111111,417.8847368,DL,UA
2013,1,Table 1a,69.86,344.77,20.48,240.51,30140,30852,ABQ,IAD,1628,134.5555556,319.7038481,UA,WN
2013,1,Table 1a,87.9,234.43,87.9,234.43,30140,31453,ABQ,IAH,744,116.6666667,232.0054762,UA,UA
2013,1,Table 1a,100,238.04,100,238.04,30140,31703,ABQ,ISP,1861,6.111111111,238.04,WN,WN
2013,1,Table 1a,41.99,250.54,40.57,237.16,30140,31703,ABQ,JFK,1826,31.22222222,243.6845908,DL,AA
2013,1,Table 1a,68.56,173.13,68.56,173.13,30140,32575,ABQ,LAX,677,494.1111111,174.1737913,WN,WN
2013,1,Table 1a,47.96,221.59,47.96,221.59,30140,31703,ABQ,LGA,1821,169.1111111,228.7946715,AA,AA
