Year,Quarter,tbl,large_ms,fare_lg,lf_ms,fare_low,origin_cty,dest_cty,origin_apt,dest_apt,distance,passengers,fare,carrier_lg,carrier_low
2001,2,Table 1a,100.00,132.96,100.00,132.96,02200,23210,ABE,DAL,1300,0.2197802198,132.96,CO,CO
2001,2,Table 1a,92.63,279.79,92.63,279.79,02200,96460,ABE,DCA,151,10.43956044,283.13505263,US,US
2001,2,Table 1a,46.11,324.41,13.94,282.80,02200,23210,ABE,DFW,1308,40.989010989,316.90632708,US,DL
2001,2,Table 1a,0.00,0.00,0.00,9999.00,02200,37320,ABE,EFD,1347,0.1098901099,883.36,,
2001,2,Table 1a,84.21,504.62,84.21,504.62,02200,37320,ABE,HOU,1351,2.0879120879,500.40578947,DL,DL
2001,2,Table 1a,60.00,193.80,40.00,151.99,02200,96460,ABE,IAD,160,0.5494505495,177.074,UA,US
2001,2,Table 1a,48.08,364.40,48.08,364.40,02200,37320,ABE,IAH,1339,28.571428571,429.1665,US,US
2001,2,Table 1a,64.29,331.28,21.43,201.93,02200,18500,ABE,MDW,646,1.5384615385,289.275,NW,CO
2001,2,Table 1a,83.81,295.84,83.81,295.84,02200,18500,ABE,ORD,654,122.1978022,294.04749101,UA,UA
2001,2,Table 1a,66.18,133.68,66.18,133.68,02200,87870,ABE,TPA,963,76.043956044,137.28807803,US,US
2001,2,Table 1a,100.00,171.81,100.00,171.81,00300,23210,ABI,DFW,158,16.703296703,171.80631579,AA,AA
2001,2,Table 1a,75.00,271.33,75.00,271.33,00300,37320,ABI,EFD,331,0.4395604396,293.7525,CO,CO
2001,2,Table 1a,80.00,160.54,80.00,160.54,00300,37320,ABI,HOU,323,3.2967032967,162.42833333,AA,AA
2001,2,Table 1a,91.76,149.95,91.76,149.95,00300,37320,ABI,IAH,307,29.340659341,153.06985019,CO,CO
2001,2,Table 1a,99.75,111.40,99.75,111.40,01680,23210,ABQ,DAL,580,700.43956044,111.42048321,WN,WN
2001,2,Table 1a,36.92,188.18,34.94,179.88,01680,96460,ABQ,DCA,1650,284.28571429,199.78799382,TW,DL
2001,2,Table 1a,71.18,131.07,24.76,121.66,01680,23210,ABQ,DFW,569,244.06593407,130.07765421,AA,DL
